Inventory_ID,Snapshot_Date,Warehouse_ID,Product_ID,Opening_Stock,Purchases,Units_Sold,Returns_In,Adjustments,Closing_Stock,Unit_Cost,Stock_Value,Stockout_Flag
ST00000001,2025-09-02,W002,P00002,51,1,7,1,-2,44,410,18040.0,0
ST00000002,2025-09-03,W003,P00003,52,2,14,2,-1,41,520,21320.0,0
ST00000003,2025-09-04,W004,P00004,53,3,21,3,0,38,630,23940.0,0
ST00000004,2025-09-05,W005,P00005,54,4,28,4,1,35,740,25900.0,0
ST00000005,2025-09-06,W006,P00006,55,5,35,5,2,32,850,27200.0,0
ST00000006,2025-09-07,W007,P00007,56,6,42,6,3,29,960,27840.0,0
ST00000007,2025-09-08,W008,P00008,57,7,49,7,-3,19,1070,20330.0,0
ST00000008,2025-09-09,W009,P00009,58,8,56,8,-2,16,1180,18880.0,0
ST00000009,2025-09-10,W010,P00010,59,9,63,0,-1,4,1290,5160.0,0
ST00000010,2025-09-11,W011,P00011,60,10,70,1,0,1,1400,1400.0,0
ST00000011,2025-09-12,W012,P00012,61,11,77,2,1,-2,1510,-3020.0,1
ST00000012,2025-09-13,W013,P00013,62,12,84,3,2,-5,1620,-8100.0,1
ST00000013,2025-09-14,W014,P00014,63,13,91,4,3,-8,1730,-13840.0,1
ST00000014,2025-09-15,W015,P00015,64,14,98,5,-3,-18,1840,-33120.0,1
ST00000015,2025-09-16,W016,P00016,65,15,105,6,-2,-21,1950,-40950.0,1
ST00000016,2025-09-17,W017,P00017,66,16,112,7,-1,-24,2060,-49440.0,1
ST00000017,2025-09-18,W018,P00018,67,17,119,8,0,-27,2170,-58590.0,1
ST00000018,2025-09-19,W019,P00019,68,18,126,0,1,-39,2280,-88920.0,1
ST00000019,2025-09-20,W020,P00020,69,19,133,1,2,-42,2390,-100380.0,1
ST00000020,2025-09-21,W001,P00021,70,20,140,2,3,-45,2500,-112500.0,1
ST00000021,2025-09-22,W002,P00022,71,21,147,3,-3,-55,2610,-143550.0,1
ST00000022,2025-09-23,W003,P00023,72,22,154,4,-2,-58,2720,-157760.0,1
ST00000023,2025-09-24,W004,P00024,73,23,161,5,-1,-61,2830,-172630.0,1
ST00000024,2025-09-25,W005,P00025,74,24,168,6,0,-64,2940,-188160.0,1
ST00000025,2025-09-26,W006,P00026,75,25,175,7,1,-67,3050,-204350.0,1
ST00000026,2025-09-27,W007,P00027,76,26,182,8,2,-70,3160,-221200.0,1
ST00000027,2025-09-28,W008,P00028,77,27,189,0,3,-82,3270,-268140.0,1
ST00000028,2025-09-29,W009,P00029,78,28,196,1,-3,-92,3380,-310960.0,1
ST00000029,2025-09-30,W010,P00030,79,29,203,2,-2,-95,3490,-331550.0,1
ST00000030,2025-10-01,W011,P00031,80,30,210,3,-1,-98,3600,-352800.0,1
ST00000031,2025-10-02,W012,P00032,81,31,217,4,0,-101,3710,-374710.0,1
ST00000032,2025-10-03,W013,P00033,82,32,224,5,1,-104,3820,-397280.0,1
ST00000033,2025-10-04,W014,P00034,83,33,231,6,2,-107,3930,-420510.0,1
ST00000034,2025-10-05,W015,P00035,84,34,238,7,3,-110,4040,-444400.0,1
ST00000035,2025-10-06,W016,P00036,85,35,245,8,-3,-120,4150,-498000.0,1
ST00000036,2025-10-07,W017,P00037,86,36,252,0,-2,-132,4260,-562320.0,1
ST00000037,2025-10-08,W018,P00038,87,37,259,1,-1,-135,4370,-589950.0,1
ST00000038,2025-10-09,W019,P00039,88,38,266,2,0,-138,4480,-618240.0,1
ST00000039,2025-10-10,W020,P00040,89,39,273,3,1,-141,4590,-647190.0,1
ST00000040,2025-10-11,W001,P00041,90,40,280,4,2,-144,4700,-676800.0,1
ST00000041,2025-10-12,W002,P00042,91,41,287,5,3,-147,4810,-707070.0,1
ST00000042,2025-10-13,W003,P00043,92,42,294,6,-3,-157,4920,-772440.0,1
ST00000043,2025-10-14,W004,P00044,93,43,301,7,-2,-160,5030,-804800.0,1
ST00000044,2025-10-15,W005,P00045,94,44,308,8,-1,-163,5140,-837820.0,1
ST00000045,2025-10-16,W006,P00046,95,45,315,0,0,-175,5250,-918750.0,1
ST00000046,2025-10-17,W007,P00047,96,46,322,1,1,-178,5360,-954080.0,1
ST00000047,2025-10-18,W008,P00048,97,47,329,2,2,-181,5470,-990070.0,1
ST00000048,2025-10-19,W009,P00049,98,48,336,3,3,-184,5580,-1026720.0,1
ST00000049,2025-10-20,W010,P00050,99,49,343,4,-3,-194,5690,-1103860.0,1
ST00000050,2025-10-21,W011,P00051,100,50,350,5,-2,-197,5800,-1142600.0,1
ST00000051,2025-10-22,W012,P00052,101,51,357,6,-1,-200,5910,-1182000.0,1
ST00000052,2025-10-23,W013,P00053,102,52,364,7,0,-203,6020,-1222060.0,1
ST00000053,2025-10-24,W014,P00054,103,53,371,8,1,-206,6130,-1262780.0,1
ST00000054,2025-10-25,W015,P00055,104,54,378,0,2,-218,6240,-1360320.0,1
ST00000055,2025-10-26,W016,P00056,105,55,385,1,3,-221,6350,-1403350.0,1
ST00000056,2025-10-27,W017,P00057,106,56,392,2,-3,-231,6460,-1492260.0,1
ST00000057,2025-10-28,W018,P00058,107,57,399,3,-2,-234,6570,-1537380.0,1
ST00000058,2025-10-29,W019,P00059,108,58,406,4,-1,-237,6680,-1583160.0,1
ST00000059,2025-10-30,W020,P00060,109,59,413,5,0,-240,6790,-1629600.0,1
ST00000060,2025-10-31,W001,P00061,110,60,0,6,1,177,6900,1221300.0,0
ST00000061,2025-11-01,W002,P00062,111,61,7,7,2,174,7010,1219740.0,0
ST00000062,2025-11-02,W003,P00063,112,62,14,8,3,171,7120,1217520.0,0
ST00000063,2025-11-03,W004,P00064,113,63,21,0,-3,152,7230,1098960.0,0
ST00000064,2025-11-04,W005,P00065,114,64,28,1,-2,149,7340,1093660.0,0
ST00000065,2025-11-05,W006,P00066,115,65,35,2,-1,146,7450,1087700.0,0
ST00000066,2025-11-06,W007,P00067,116,66,42,3,0,143,7560,1081080.0,0
ST00000067,2025-11-07,W008,P00068,117,67,49,4,1,140,7670,1073800.0,0
ST00000068,2025-11-08,W009,P00069,118,68,56,5,2,137,7780,1065860.0,0
ST00000069,2025-11-09,W010,P00070,119,69,63,6,3,134,7890,1057260.0,0
ST00000070,2025-11-10,W011,P00071,120,70,70,7,-3,124,8000,992000.0,0
ST00000071,2025-11-11,W012,P00072,121,71,77,8,-2,121,8110,981310.0,0
ST00000072,2025-11-12,W013,P00073,122,72,84,0,-1,109,8220,895980.0,0
ST00000073,2025-11-13,W014,P00074,123,73,91,1,0,106,8330,882980.0,0
ST00000074,2025-11-14,W015,P00075,124,74,98,2,1,103,8440,869320.0,0
