Order_ID,Customer_ID,Order_Date,Region_ID,Sales_Employee_ID,Channel,Order_Status,Management_Order_Value
O0000001,C000002,2025-09-02,R002,E00002,Referral,Completed,300.53
O0000002,C000003,2025-09-03,R003,E00003,Email,Completed,575.53
O0000003,C000004,2025-09-04,R004,E00004,Organic Search,Completed,915.89
O0000004,C000005,2025-09-05,R005,E00005,Organic Search,Completed,1358.81
O0000005,C000006,2025-09-06,R006,E00006,Email,Completed,308.22
O0000006,C000007,2025-09-07,R007,E00007,Referral,Completed,687.73
O0000007,C000008,2025-09-08,R008,E00008,Organic Search,Completed,1164.0
O0000008,C000009,2025-09-09,R009,E00009,Email,Completed,1691.89
O0000009,C000010,2025-09-10,R010,E00010,Instagram,Completed,2341.62
O0000010,C000011,2025-09-11,R011,E00011,Email,Completed,502.62
O0000011,C000012,2025-09-12,R012,E00012,Organic Search,Completed,1098.37
O0000012,C000013,2025-09-13,R013,E00013,Google Ads,Completed,1748.43
O0000013,C000014,2025-09-14,R014,E00014,Organic Search,Returned,2462.5
O0000014,C000015,2025-09-15,R015,E00015,Instagram,Completed,3317.69
O0000015,C000016,2025-09-16,R016,E00016,Instagram,Completed,695.68
O0000016,C000017,2025-09-17,R017,E00017,Organic Search,Completed,1489.61
O0000017,C000018,2025-09-18,R018,E00018,Referral,Completed,2328.82
O0000018,C000019,2025-09-19,R019,E00019,Email,Completed,3306.45
O0000019,C000020,2025-09-20,R020,E00020,Email,Cancelled,4287.02
O0000020,C000021,2025-09-21,R001,E00021,Referral,Completed,887.39
O0000021,C000022,2025-09-22,R002,E00022,Instagram,Completed,1878.15
O0000022,C000023,2025-09-23,R003,E00023,Google Ads,Completed,2905.16
O0000023,C000024,2025-09-24,R004,E00024,Referral,Completed,4085.14
O0000024,C000025,2025-09-25,R005,E00025,Referral,Completed,5249.61
O0000025,C000026,2025-09-26,R006,E00026,Organic Search,Completed,1104.04
O0000026,C000027,2025-09-27,R007,E00027,Email,Returned,2264.0
O0000027,C000028,2025-09-28,R008,E00028,Instagram,Completed,3477.45
O0000028,C000029,2025-09-29,R009,E00029,Instagram,Completed,4858.45
O0000029,C000030,2025-09-30,R010,E00030,Email,Completed,6205.46
O0000030,C000031,2025-10-01,R011,E00031,Email,Completed,1297.77
O0000031,C000032,2025-10-02,R012,E00032,Google Ads,Completed,2647.14
O0000032,C000033,2025-10-03,R013,E00033,Organic Search,Completed,4144.38
O0000033,C000034,2025-10-04,R014,E00034,Referral,Completed,5626.37
O0000034,C000035,2025-10-05,R015,E00035,Email,Completed,7154.57
O0000035,C000036,2025-10-06,R016,E00036,Organic Search,Completed,1490.15
O0000036,C000037,2025-10-07,R017,E00037,Instagram,Completed,3027.6
O0000037,C000038,2025-10-08,R018,E00038,Instagram,Completed,4722.74
O0000038,C000039,2025-10-09,R019,E00039,Organic Search,Cancelled,6388.89
O0000039,C000040,2025-10-10,R020,E00040,Referral,Returned,8294.42
O0000040,C000041,2025-10-11,R001,E00041,Referral,Completed,1681.18
O0000041,C000042,2025-10-12,R002,E00042,Google Ads,Completed,3405.35
O0000042,C000043,2025-10-13,R003,E00043,Referral,Completed,5297.06
O0000043,C000044,2025-10-14,R004,E00044,Email,Completed,7146.02
O0000044,C000045,2025-10-15,R005,E00045,Google Ads,Completed,9253.64
O0000045,C000046,2025-10-16,R006,E00046,Referral,Completed,1870.87
O0000046,C000047,2025-10-17,R007,E00047,Referral,Completed,3872.62
O0000047,C000048,2025-10-18,R008,E00048,Email,Completed,5867.34
O0000048,C000049,2025-10-19,R009,E00049,Referral,Completed,7897.76
O0000049,C000050,2025-10-20,R010,E00050,Organic Search,Completed,10206.12
O0000050,C000051,2025-10-21,R011,E00051,Google Ads,Completed,2059.21
O0000051,C000052,2025-10-22,R012,E00052,Instagram,Completed,4254.42
O0000052,C000053,2025-10-23,R013,E00053,Google Ads,Returned,6433.57
O0000053,C000054,2025-10-24,R014,E00054,Google Ads,Completed,8854.93
