Product_ID,Product_Name,Category,Subcategory,Supplier_ID,List_Price,Standard_Cost,Launch_Date,Lead_Time_Days,Status
P00001,Furniture Product 0001,Furniture,Subcategory 1,S00002,675,410,2025-09-02,6,Active
P00002,Office Supplies Product 0002,Office Supplies,Subcategory 2,S00003,850,520,2025-09-03,7,Active
P00003,Home Appliances Product 0003,Home Appliances,Subcategory 3,S00004,1025,630,2025-09-04,8,Active
P00004,Accessories Product 0004,Accessories,Subcategory 4,S00005,1200,740,2025-09-05,9,Active
P00005,IT Equipment Product 0005,IT Equipment,Subcategory 5,S00006,1375,850,2025-09-06,10,Active
P00006,Electronics Product 0006,Electronics,Subcategory 6,S00007,1550,960,2025-09-07,11,Active
P00007,Furniture Product 0007,Furniture,Subcategory 7,S00008,1725,1070,2025-09-08,12,Active
P00008,Office Supplies Product 0008,Office Supplies,Subcategory 8,S00009,1900,1180,2025-09-09,13,Active
P00009,Home Appliances Product 0009,Home Appliances,Subcategory 9,S00010,2075,1290,2025-09-10,14,Active
P00010,Accessories Product 0010,Accessories,Subcategory 10,S00011,2250,1400,2025-09-11,15,Active
P00011,IT Equipment Product 0011,IT Equipment,Subcategory 11,S00012,2425,1510,2025-09-12,16,Active
P00012,Electronics Product 0012,Electronics,Subcategory 12,S00013,2600,1620,2025-09-13,17,Active
P00013,Furniture Product 0013,Furniture,Subcategory 13,S00014,2775,1730,2025-09-14,18,Active
P00014,Office Supplies Product 0014,Office Supplies,Subcategory 14,S00015,2950,1840,2025-09-15,19,Active
P00015,Home Appliances Product 0015,Home Appliances,Subcategory 15,S00016,3125,1950,2025-09-16,20,Active
P00016,Accessories Product 0016,Accessories,Subcategory 16,S00017,3300,2060,2025-09-17,21,Active
P00017,IT Equipment Product 0017,IT Equipment,Subcategory 17,S00018,3475,2170,2025-09-18,22,Active
P00018,Electronics Product 0018,Electronics,Subcategory 18,S00019,3650,2280,2025-09-19,23,Active
P00019,Furniture Product 0019,Furniture,Subcategory 19,S00020,3825,2390,2025-09-20,24,Active
P00020,Office Supplies Product 0020,Office Supplies,Subcategory 20,S00021,4000,2500,2025-09-21,25,Active
P00021,Home Appliances Product 0021,Home Appliances,Subcategory 21,S00022,4175,2610,2025-09-22,26,Active
P00022,Accessories Product 0022,Accessories,Subcategory 22,S00023,4350,2720,2025-09-23,27,Active
P00023,IT Equipment Product 0023,IT Equipment,Subcategory 23,S00024,4525,2830,2025-09-24,28,Active
P00024,Electronics Product 0024,Electronics,Subcategory 0,S00025,4700,2940,2025-09-25,29,Active
P00025,Furniture Product 0025,Furniture,Subcategory 1,S00026,4875,3050,2025-09-26,30,Active
P00026,Office Supplies Product 0026,Office Supplies,Subcategory 2,S00027,5050,3160,2025-09-27,31,Active
P00027,Home Appliances Product 0027,Home Appliances,Subcategory 3,S00028,5225,3270,2025-09-28,32,Active
P00028,Accessories Product 0028,Accessories,Subcategory 4,S00029,5400,3380,2025-09-29,33,Active
P00029,IT Equipment Product 0029,IT Equipment,Subcategory 5,S00030,5575,3490,2025-09-30,34,Active
P00030,Electronics Product 0030,Electronics,Subcategory 6,S00031,5750,3600,2025-10-01,35,Active
P00031,Furniture Product 0031,Furniture,Subcategory 7,S00032,5925,3710,2025-10-02,36,Active
P00032,Office Supplies Product 0032,Office Supplies,Subcategory 8,S00033,6100,3820,2025-10-03,37,Active
P00033,Home Appliances Product 0033,Home Appliances,Subcategory 9,S00034,6275,3930,2025-10-04,38,Active
P00034,Accessories Product 0034,Accessories,Subcategory 10,S00035,6450,4040,2025-10-05,39,Active
P00035,IT Equipment Product 0035,IT Equipment,Subcategory 11,S00036,6625,4150,2025-10-06,40,Active
P00036,Electronics Product 0036,Electronics,Subcategory 12,S00037,6800,4260,2025-10-07,41,Active
P00037,Furniture Product 0037,Furniture,Subcategory 13,S00038,6975,4370,2025-10-08,42,Active
P00038,Office Supplies Product 0038,Office Supplies,Subcategory 14,S00039,7150,4480,2025-10-09,43,Active
P00039,Home Appliances Product 0039,Home Appliances,Subcategory 15,S00040,7325,4590,2025-10-10,44,Active
P00040,Accessories Product 0040,Accessories,Subcategory 16,S00041,7500,4700,2025-10-11,45,Active
P00041,IT Equipment Product 0041,IT Equipment,Subcategory 17,S00042,7675,4810,2025-10-12,46,Active
P00042,Electronics Product 0042,Electronics,Subcategory 18,S00043,7850,4920,2025-10-13,47,Active
P00043,Furniture Product 0043,Furniture,Subcategory 19,S00044,8025,5030,2025-10-14,48,Discontinued
P00044,Office Supplies Product 0044,Office Supplies,Subcategory 20,S00045,8200,5140,2025-10-15,49,Active
P00045,Home Appliances Product 0045,Home Appliances,Subcategory 21,S00046,8375,5250,2025-10-16,50,Active
P00046,Accessories Product 0046,Accessories,Subcategory 22,S00047,8550,5360,2025-10-17,51,Active
P00047,IT Equipment Product 0047,IT Equipment,Subcategory 23,S00048,8725,5470,2025-10-18,52,Active
P00048,Electronics Product 0048,Electronics,Subcategory 0,S00049,8900,5580,2025-10-19,53,Active
P00049,Furniture Product 0049,Furniture,Subcategory 1,S00050,9075,5690,2025-10-20,54,Active
P00050,Office Supplies Product 0050,Office Supplies,Subcategory 2,S00051,9250,5800,2025-10-21,55,Active
P00051,Home Appliances Product 0051,Home Appliances,Subcategory 3,S00052,9425,5910,2025-10-22,56,Active
P00052,Accessories Product 0052,Accessories,Subcategory 4,S00053,9600,6020,2025-10-23,57,Active
P00053,IT Equipment Product 0053,IT Equipment,Subcategory 5,S00054,9775,6130,2025-10-24,58,Active
P00054,Electronics Product 0054,Electronics,Subcategory 6,S00055,9950,6240,2025-10-25,59,Active
P00055,Furniture Product 0055,Furniture,Subcategory 7,S00056,10125,6350,2025-10-26,5,Active
P00056,Office Supplies Product 0056,Office Supplies,Subcategory 8,S00057,10300,6460,2025-10-27,6,Active
P00057,Home Appliances Product 0057,Home Appliances,Subcategory 9,S00058,10475,6570,2025-10-28,7,Active
P00058,Accessories Product 0058,Accessories,Subcategory 10,S00059,10650,6680,2025-10-29,8,Active
P00059,IT Equipment Product 0059,IT Equipment,Subcategory 11,S00060,10825,6790,2025-10-30,9,Active
P00060,Electronics Product 0060,Electronics,Subcategory 12,S00061,11000,6900,2025-10-31,10,Active
P00061,Furniture Product 0061,Furniture,Subcategory 13,S00062,11175,7010,2025-11-01,11,Active
P00062,Office Supplies Product 0062,Office Supplies,Subcategory 14,S00063,11350,7120,2025-11-02,12,Active
P00063,Home Appliances Product 0063,Home Appliances,Subcategory 15,S00064,11525,7230,2025-11-03,13,Active
P00064,Accessories Product 0064,Accessories,Subcategory 16,S00065,11700,7340,2025-11-04,14,Active
P00065,IT Equipment Product 0065,IT Equipment,Subcategory 17,S00066,11875,7450,2025-11-05,15,Active
P00066,Electronics Product 0066,Electronics,Subcategory 18,S00067,12050,7560,2025-11-06,16,Active
P00067,Furniture Product 0067,Furniture,Subcategory 19,S00068,12225,7670,2025-11-07,17,Active
P00068,Office Supplies Product 0068,Office Supplies,Subcategory 20,S00069,12400,7780,2025-11-08,18,Active
P00069,Home Appliances Product 0069,Home Appliances,Subcategory 21,S00070,12575,7890,2025-11-09,19,Active
P00070,Accessories Product 0070,Accessories,Subcategory 22,S00071,12750,8000,2025-11-10,20,Active
P00071,IT Equipment Product 0071,IT Equipment,Subcategory 23,S00072,12925,8110,2025-11-11,21,Active
P00072,Electronics Product 0072,Electronics,Subcategory 0,S00073,13100,8220,2025-11-12,22,Active
P00073,Furniture Product 0073,Furniture,Subcategory 1,S00074,13275,8330,2025-11-13,23,Active
P00074,Office Supplies Product 0074,Office Supplies,Subcategory 2,S00075,13450,8440,2025-11-14,24,Active
P00075,Home Appliances Product 0075,Home Appliances,Subcategory 3,S00076,13625,8550,2025-11-15,25,Active
P00076,Accessories Product 0076,Accessories,Subcategory 4,S00077,13800,8660,2025-11-16,26,Active
