Return_ID,Order_ID,Order_Item_ID,Customer_ID,Product_ID,Return_Date,Return_Quantity,Refund_Amount,Reason,Status
RT0000001,O0000014,OI00000014,C000015,P00015,2025-09-16,1,214.12923522310064,Late delivery,Pending
RT0000002,O0000027,OI00000027,C000028,P00028,2025-09-30,1,379.2627979798986,Wrong item,Rejected
RT0000003,O0000040,OI00000040,C000041,P00041,2025-10-14,1,544.3963607366966,Changed mind,Rejected
RT0000004,O0000053,OI00000053,C000054,P00054,2025-10-28,1,709.5299234934945,Wrong item,Rejected
RT0000005,O0000066,OI00000066,C000067,P00067,2025-11-11,1,874.6634862502924,Wrong item,Pending
RT0000006,O0000079,OI00000079,C000080,P00080,2025-11-25,1,1039.7970490070904,Damaged,Pending
RT0000007,O0000092,OI00000092,C000093,P00093,2025-12-09,1,1204.9306117638882,Wrong item,Pending
RT0000008,O0000105,OI00000105,C000106,P00106,2025-12-23,1,99.80599946839436,Changed mind,Pending
RT0000009,O0000118,OI00000118,C000119,P00119,2026-01-06,1,264.93956222519233,Wrong item,Refunded
RT0000010,O0000131,OI00000131,C000132,P00132,2026-01-20,1,430.0731249819903,Wrong item,Pending
RT0000011,O0000144,OI00000144,C000145,P00145,2026-02-03,1,595.2066877387882,Wrong item,Pending
RT0000012,O0000157,OI00000157,C000158,P00158,2026-02-17,1,760.3402504955861,Quality issue,Rejected
RT0000013,O0000170,OI00000170,C000171,P00171,2026-03-03,1,925.4738132523842,Quality issue,Rejected
RT0000014,O0000183,OI00000183,C000184,P00184,2026-03-17,1,1090.607376009182,Wrong item,Rejected
RT0000015,O0000196,OI00000196,C000197,P00197,2026-03-31,1,1255.74093876598,Quality issue,Pending
RT0000016,O0000209,OI00000209,C000210,P00210,2026-04-14,1,150.61632647048603,Wrong item,Refunded
RT0000017,O0000222,OI00000222,C000223,P00223,2026-04-28,1,315.749889227284,Late delivery,Refunded
RT0000018,O0000235,OI00000235,C000236,P00236,2026-05-12,1,480.88345198408194,Wrong item,Refunded
RT0000019,O0000248,OI00000248,C000249,P00249,2026-05-26,1,646.0170147408799,Quality issue,Refunded
RT0000020,O0000261,OI00000261,C000262,P00262,2026-06-09,1,811.1505774976779,Changed mind,Pending
RT0000021,O0000274,OI00000274,C000275,P00275,2026-06-23,1,976.2841402544758,Late delivery,Rejected
RT0000022,O0000287,OI00000287,C000288,P00288,2026-07-07,1,1141.4177030112735,Changed mind,Pending
RT0000023,O0000300,OI00000300,C000301,P00301,2026-07-21,1,36.29309071577977,Damaged,Rejected
RT0000024,O0000313,OI00000313,C000314,P00314,2026-08-04,1,201.42665347257773,Wrong item,Refunded
RT0000025,O0000326,OI00000326,C000327,P00327,2026-08-18,1,366.56021622937567,Wrong item,Rejected
RT0000026,O0000339,OI00000339,C000340,P00340,2025-09-01,1,531.6937789861736,Late delivery,Pending
RT0000027,O0000352,OI00000352,C000353,P00353,2025-09-15,1,696.8273417429716,Wrong item,Pending
RT0000028,O0000365,OI00000365,C000366,P00366,2025-09-29,1,861.9609044997695,Late delivery,Pending
RT0000029,O0000378,OI00000378,C000379,P00379,2025-10-13,1,1027.0944672565674,Wrong item,Pending
RT0000030,O0000391,OI00000391,C000392,P00392,2025-10-27,1,1192.2280300133657,Wrong item,Rejected
RT0000031,O0000404,OI00000404,C000405,P00405,2025-11-10,1,87.10341771787145,Wrong item,Refunded
RT0000032,O0000417,OI00000417,C000418,P00418,2025-11-24,1,252.2369804746694,Wrong item,Rejected
RT0000033,O0000430,OI00000430,C000431,P00431,2025-12-08,1,417.37054323146737,Damaged,Refunded
RT0000034,O0000443,OI00000443,C000444,P00444,2025-12-22,1,582.5041059882653,Quality issue,Refunded
RT0000035,O0000456,OI00000456,C000457,P00457,2026-01-05,1,747.6376687450633,Wrong item,Rejected
RT0000036,O0000469,OI00000469,C000470,P00470,2026-01-19,1,912.7712315018612,Quality issue,Rejected
RT0000037,O0000482,OI00000482,C000483,P00483,2026-02-02,1,1077.9047942586592,Changed mind,Rejected
