Event_ID,Customer_ID,Session_ID,Event_Time,Channel,Event_Type,Page,Experiment_Group,Converted,Order_ID
EV00000001,C000002,SES00000001,2025-09-02 01:01:00,Instagram,Add to Cart,/checkout,Control,0,
EV00000002,C000003,SES00000001,2025-09-03 02:02:00,Email,Add to Cart,/home,Treatment,0,
EV00000003,C000004,SES00000001,2025-09-04 03:03:00,Referral,Product View,/home,Control,0,
EV00000004,C000005,SES00000002,2025-09-05 04:04:00,Organic Search,Page View,/home,Treatment,0,
EV00000005,C000006,SES00000002,2025-09-06 05:05:00,Google Ads,Page View,/checkout,Control,0,
EV00000006,C000007,SES00000002,2025-09-07 06:06:00,Instagram,Checkout,/home,Treatment,0,
EV00000007,C000008,SES00000002,2025-09-08 07:07:00,Email,Checkout,/home,Control,0,
EV00000008,C000009,SES00000003,2025-09-09 08:08:00,Referral,Page View,/checkout,Treatment,0,
EV00000009,C000010,SES00000003,2025-09-10 09:09:00,Organic Search,Product View,/product,Control,0,
EV00000010,C000011,SES00000003,2025-09-11 10:10:00,Google Ads,Product View,/checkout,Treatment,0,
EV00000011,C000012,SES00000003,2025-09-12 11:11:00,Instagram,Add to Cart,/product,Control,0,
EV00000012,C000013,SES00000004,2025-09-13 12:12:00,Email,Product View,/product,Treatment,0,
EV00000013,C000014,SES00000004,2025-09-14 13:13:00,Referral,Page View,/checkout,Control,0,
EV00000014,C000015,SES00000004,2025-09-15 14:14:00,Organic Search,Page View,/cart,Treatment,0,
EV00000015,C000016,SES00000004,2025-09-16 15:15:00,Google Ads,Page View,/home,Control,0,
EV00000016,C000017,SES00000005,2025-09-17 16:16:00,Instagram,Page View,/product,Treatment,0,
EV00000017,,SES00000005,2025-09-18 17:17:00,Email,Checkout,/product,Control,0,
EV00000018,C000019,SES00000005,2025-09-19 18:18:00,Referral,Page View,/home,Treatment,0,
EV00000019,C000020,SES00000005,2025-09-20 19:19:00,Organic Search,Add to Cart,/product,Control,0,
EV00000020,C000021,SES00000006,2025-09-21 20:20:00,Google Ads,Checkout,/product,Treatment,0,
EV00000021,C000022,SES00000006,2025-09-22 21:21:00,Instagram,Checkout,/checkout,Control,0,
EV00000022,C000023,SES00000006,2025-09-23 22:22:00,Email,Add to Cart,/checkout,Treatment,0,
EV00000023,C000024,SES00000006,2025-09-24 23:23:00,Referral,Purchase,/home,Control,1,O0000024
EV00000024,C000025,SES00000007,2025-09-25 00:24:00,Organic Search,Product View,/product,Treatment,0,
EV00000025,C000026,SES00000007,2025-09-26 01:25:00,Google Ads,Product View,/home,Control,0,
EV00000026,C000027,SES00000007,2025-09-27 02:26:00,Instagram,Checkout,/product,Treatment,0,
EV00000027,C000028,SES00000007,2025-09-28 03:27:00,Email,Add to Cart,/home,Control,0,
EV00000028,C000029,SES00000008,2025-09-29 04:28:00,Referral,Page View,/cart,Treatment,0,
EV00000029,C000030,SES00000008,2025-09-30 05:29:00,Organic Search,Page View,/cart,Control,0,
EV00000030,C000031,SES00000008,2025-10-01 06:30:00,Google Ads,Checkout,/home,Treatment,0,
EV00000031,C000032,SES00000008,2025-10-02 07:31:00,Instagram,Product View,/home,Control,0,
EV00000032,C000033,SES00000009,2025-10-03 08:32:00,Email,Page View,/cart,Treatment,0,
EV00000033,C000034,SES00000009,2025-10-04 09:33:00,Referral,Checkout,/home,Control,0,
EV00000034,,SES00000009,2025-10-05 10:34:00,Organic Search,Checkout,/checkout,Treatment,0,
EV00000035,C000036,SES00000009,2025-10-06 11:35:00,Google Ads,Product View,/cart,Control,0,
EV00000036,C000037,SES00000010,2025-10-07 12:36:00,Instagram,Page View,/home,Treatment,0,
EV00000037,C000038,SES00000010,2025-10-08 13:37:00,Email,Add to Cart,/product,Control,0,
EV00000038,C000039,SES00000010,2025-10-09 14:38:00,Referral,Add to Cart,/home,Treatment,0,
EV00000039,C000040,SES00000010,2025-10-10 15:39:00,Organic Search,Checkout,/cart,Control,0,
EV00000040,C000041,SES00000011,2025-10-11 16:40:00,Google Ads,Page View,/home,Treatment,0,
EV00000041,C000042,SES00000011,2025-10-12 17:41:00,Instagram,Product View,/product,Control,0,
EV00000042,C000043,SES00000011,2025-10-13 18:42:00,Email,Checkout,/home,Treatment,0,
EV00000043,C000044,SES00000011,2025-10-14 19:43:00,Referral,Page View,/checkout,Control,0,
EV00000044,C000045,SES00000012,2025-10-15 20:44:00,Organic Search,Add to Cart,/checkout,Treatment,0,
EV00000045,C000046,SES00000012,2025-10-16 21:45:00,Google Ads,Page View,/cart,Control,0,
EV00000046,C000047,SES00000012,2025-10-17 22:46:00,Instagram,Purchase,/cart,Treatment,1,O0000047
EV00000047,C000048,SES00000012,2025-10-18 23:47:00,Email,Page View,/cart,Control,0,
EV00000048,C000049,SES00000013,2025-10-19 00:48:00,Referral,Checkout,/checkout,Treatment,0,
EV00000049,C000050,SES00000013,2025-10-20 01:49:00,Organic Search,Product View,/cart,Control,0,
EV00000050,C000051,SES00000013,2025-10-21 02:50:00,Google Ads,Add to Cart,/checkout,Treatment,0,
EV00000051,,SES00000013,2025-10-22 03:51:00,Instagram,Checkout,/home,Control,0,
EV00000052,C000053,SES00000014,2025-10-23 04:52:00,Email,Product View,/product,Treatment,0,
EV00000053,C000054,SES00000014,2025-10-24 05:53:00,Referral,Page View,/cart,Control,0,
EV00000054,C000055,SES00000014,2025-10-25 06:54:00,Organic Search,Checkout,/checkout,Treatment,0,
EV00000055,C000056,SES00000014,2025-10-26 07:55:00,Google Ads,Add to Cart,/product,Control,0,
EV00000056,C000057,SES00000015,2025-10-27 08:56:00,Instagram,Checkout,/home,Treatment,0,
EV00000057,C000058,SES00000015,2025-10-28 09:57:00,Email,Add to Cart,/home,Control,0,
EV00000058,C000059,SES00000015,2025-10-29 10:58:00,Referral,Product View,/home,Treatment,0,
EV00000059,C000060,SES00000015,2025-10-30 11:59:00,Organic Search,Product View,/cart,Control,0,
EV00000060,C000061,SES00000016,2025-10-31 12:00:00,Google Ads,Page View,/product,Treatment,0,
EV00000061,C000062,SES00000016,2025-11-01 13:01:00,Instagram,Product View,/product,Control,0,
EV00000062,C000063,SES00000016,2025-11-02 14:02:00,Email,Add to Cart,/checkout,Treatment,0,
EV00000063,C000064,SES00000016,2025-11-03 15:03:00,Referral,Add to Cart,/checkout,Control,0,
EV00000064,C000065,SES00000017,2025-11-04 16:04:00,Organic Search,Product View,/home,Treatment,0,
EV00000065,C000066,SES00000017,2025-11-05 17:05:00,Google Ads,Add to Cart,/checkout,Control,0,
EV00000066,C000067,SES00000017,2025-11-06 18:06:00,Instagram,Add to Cart,/checkout,Treatment,0,
EV00000067,C000068,SES00000017,2025-11-07 19:07:00,Email,Page View,/checkout,Control,0,
EV00000068,,SES00000018,2025-11-08 20:08:00,Referral,Add to Cart,/cart,Treatment,0,
EV00000069,C000070,SES00000018,2025-11-09 21:09:00,Organic Search,Purchase,/checkout,Control,1,O0000070
EV00000070,C000071,SES00000018,2025-11-10 22:10:00,Google Ads,Add to Cart,/cart,Treatment,0,
EV00000071,C000072,SES00000018,2025-11-11 23:11:00,Instagram,Add to Cart,/home,Control,0,
EV00000072,C000073,SES00000019,2025-11-12 00:12:00,Email,Page View,/product,Treatment,0,
EV00000073,C000074,SES00000019,2025-11-13 01:13:00,Referral,Checkout,/product,Control,0,
EV00000074,C000075,SES00000019,2025-11-14 02:14:00,Organic Search,Checkout,/cart,Treatment,0,
EV00000075,C000076,SES00000019,2025-11-15 03:15:00,Google Ads,Add to Cart,/checkout,Control,0,
EV00000076,C000077,SES00000020,2025-11-16 04:16:00,Instagram,Product View,/checkout,Treatment,0,
EV00000077,C000078,SES00000020,2025-11-17 05:17:00,Email,Product View,/cart,Control,0,
EV00000078,C000079,SES00000020,2025-11-18 06:18:00,Referral,Product View,/checkout,Treatment,0,
EV00000079,C000080,SES00000020,2025-11-19 07:19:00,Organic Search,Product View,/cart,Control,0,
EV00000080,C000081,SES00000021,2025-11-20 08:20:00,Google Ads,Product View,/checkout,Treatment,0,
EV00000081,C000082,SES00000021,2025-11-21 09:21:00,Instagram,Add to Cart,/checkout,Control,0,
EV00000082,C000083,SES00000021,2025-11-22 10:22:00,Email,Product View,/product,Treatment,0,
EV00000083,C000084,SES00000021,2025-11-23 11:23:00,Referral,Product View,/home,Control,0,
EV00000084,C000085,SES00000022,2025-11-24 12:24:00,Organic Search,Add to Cart,/cart,Treatment,0,
EV00000085,,SES00000022,2025-11-25 13:25:00,Google Ads,Add to Cart,/home,Control,0,
EV00000086,C000087,SES00000022,2025-11-26 14:26:00,Instagram,Checkout,/cart,Treatment,0,
EV00000087,C000088,SES00000022,2025-11-27 15:27:00,Email,Checkout,/product,Control,0,
EV00000088,C000089,SES00000023,2025-11-28 16:28:00,Referral,Page View,/checkout,Treatment,0,
EV00000089,C000090,SES00000023,2025-11-29 17:29:00,Organic Search,Product View,/product,Control,0,
EV00000090,C000091,SES00000023,2025-11-30 18:30:00,Google Ads,Checkout,/home,Treatment,0,
EV00000091,C000092,SES00000023,2025-12-01 19:31:00,Instagram,Add to Cart,/product,Control,0,
EV00000092,C000093,SES00000024,2025-12-02 20:32:00,Email,Purchase,/product,Treatment,1,O0000093
EV00000093,C000094,SES00000024,2025-12-03 21:33:00,Referral,Product View,/cart,Control,0,
EV00000094,C000095,SES00000024,2025-12-04 22:34:00,Organic Search,Add to Cart,/product,Treatment,0,
EV00000095,C000096,SES00000024,2025-12-05 23:35:00,Google Ads,Add to Cart,/cart,Control,0,
EV00000096,C000097,SES00000025,2025-12-06 00:36:00,Instagram,Page View,/checkout,Treatment,0,
EV00000097,C000098,SES00000025,2025-12-07 01:37:00,Email,Checkout,/checkout,Control,0,
EV00000098,C000099,SES00000025,2025-12-08 02:38:00,Referral,Product View,/home,Treatment,0,
EV00000099,C000100,SES00000025,2025-12-09 03:39:00,Organic Search,Product View,/home,Control,0,
EV00000100,C000101,SES00000026,2025-12-10 04:40:00,Google Ads,Add to Cart,/checkout,Treatment,0,
EV00000101,C000102,SES00000026,2025-12-11 05:41:00,Instagram,Product View,/checkout,Control,0,
EV00000102,,SES00000026,2025-12-12 06:42:00,Email,Product View,/checkout,Treatment,0,
EV00000103,C000104,SES00000026,2025-12-13 07:43:00,Referral,Checkout,/checkout,Control,0,
EV00000104,C000105,SES00000027,2025-12-14 08:44:00,Organic Search,Page View,/home,Treatment,0,
EV00000105,C000106,SES00000027,2025-12-15 09:45:00,Google Ads,Add to Cart,/checkout,Control,0,
EV00000106,C000107,SES00000027,2025-12-16 10:46:00,Instagram,Add to Cart,/cart,Treatment,0,
EV00000107,C000108,SES00000027,2025-12-17 11:47:00,Email,Add to Cart,/home,Control,0,
EV00000108,C000109,SES00000028,2025-12-18 12:48:00,Referral,Product View,/product,Treatment,0,
EV00000109,C000110,SES00000028,2025-12-19 13:49:00,Organic Search,Checkout,/cart,Control,0,
EV00000110,C000111,SES00000028,2025-12-20 14:50:00,Google Ads,Add to Cart,/checkout,Treatment,0,
