Dataset,Total_Records,Date_Issues,Negative_Value_Issues,Foreign_Key_Issues,Total_Advanced_Issues
customer_complaints.csv,10000,0,0,14,14
customer_master.csv,20020,25,0,0,25
employee_attendance.csv,50000,0,495,116,611
employee_master.csv,500,0,0,0,0
inventory.csv,120000,0,27662,240,27902
invoices.csv,102000,4176,0,111,4287
marketing_campaigns.csv,5000,0,0,0,0
monthly_targets.csv,240,0,0,0,0
orders.csv,100000,30,0,401,431
order_items.csv,250000,0,291,649,940
payments.csv,76982,15,0,94,109
product_master.csv,1000,1,3,2,6
purchases.csv,25000,990,4,56,1050
region_master.csv,20,0,0,0,0
returns.csv,15000,5,0,48,53
sales.csv,250000,0,240,1272,1512
suppliers.csv,200,0,0,0,0
website_activity.csv,200000,0,0,188,188
