Dataset,Original_Records,Cleaned_Records,Rejected_Records,Retention_Percentage
region_master.csv,20,20,0,100.0
customer_master.csv,20020,19955,65,99.68
employee_master.csv,500,499,1,99.8
suppliers.csv,200,200,0,100.0
product_master.csv,1000,992,8,99.2
orders.csv,100000,99435,565,99.44
order_items.csv,250000,246370,3630,98.55
sales.csv,250000,246370,3630,98.55
returns.csv,15000,14771,229,98.47
invoices.csv,102000,101416,584,99.43
payments.csv,76982,76510,472,99.39
purchases.csv,25000,24144,856,96.58
inventory.csv,120000,119040,960,99.2
marketing_campaigns.csv,5000,5000,0,100.0
website_activity.csv,200000,199529,471,99.76
customer_complaints.csv,10000,9920,80,99.2
employee_attendance.csv,50000,49390,610,98.78
monthly_targets.csv,240,240,0,100.0
