Dataset,Total_Records,Valid_Records,Invalid_Records,Duplicate_Records,Exact_Duplicate_Records,Missing_Primary_Keys,Missing_Cells,Quality_Percentage
customer_complaints.csv,10000,10000,0,0,0,0,2500,100.0
customer_master.csv,20020,19940,80,60,0,20,71,99.6
employee_attendance.csv,50000,50000,0,0,0,0,0,100.0
employee_master.csv,500,499,1,0,0,1,11,99.8
inventory.csv,120000,120000,0,0,0,0,0,100.0
invoices.csv,102000,101980,20,20,0,0,0,99.98
marketing_campaigns.csv,5000,5000,0,0,0,0,0,100.0
monthly_targets.csv,240,240,0,0,0,0,0,100.0
orders.csv,100000,99982,18,18,0,0,0,99.98
order_items.csv,250000,250000,0,0,0,0,0,100.0
payments.csv,76982,76970,12,12,0,0,0,99.98
product_master.csv,1000,996,4,2,0,2,2,99.6
purchases.csv,25000,25000,0,0,0,0,0,100.0
region_master.csv,20,20,0,0,0,0,0,100.0
returns.csv,15000,14992,8,8,0,0,0,99.95
sales.csv,250000,250000,0,0,0,0,0,100.0
suppliers.csv,200,200,0,0,0,0,0,100.0
website_activity.csv,200000,200000,0,0,0,0,203069,100.0
