Dataset,Total_Records,Valid_Records,Invalid_Records,Rows_With_Missing_Values,Duplicate_Primary_Key_Rows,Exact_Duplicate_Rows,Invalid_or_Future_Date_Rows,Negative_Value_Rows,Data_Quality_Percentage
website_activity.csv,200000,8184,191816,191816,0,0,0,0,4.09
customer_complaints.csv,10000,8750,1250,1250,0,0,0,0,87.5
inventory.csv,120000,106169,13831,0,0,0,0,13831,88.47
invoices.csv,102000,97804,4196,0,20,0,4176,0,95.89
purchases.csv,25000,24346,654,0,0,0,650,4,97.38
employee_master.csv,500,489,11,11,0,0,0,0,97.8
employee_attendance.csv,50000,49505,495,0,0,0,0,495,99.01
customer_master.csv,20020,19884,136,71,60,0,25,0,99.32
product_master.csv,1000,994,6,2,2,0,1,3,99.4
returns.csv,15000,14987,13,0,8,0,5,0,99.91
orders.csv,100000,99952,48,0,18,0,30,0,99.95
payments.csv,76982,76955,27,0,12,0,15,0,99.96
order_items.csv,250000,249903,97,0,0,0,0,97,99.96
sales.csv,250000,249938,62,0,0,0,0,62,99.98
monthly_targets.csv,240,240,0,0,0,0,0,0,100.0
marketing_campaigns.csv,5000,5000,0,0,0,0,0,0,100.0
region_master.csv,20,20,0,0,0,0,0,0,100.0
suppliers.csv,200,200,0,0,0,0,0,0,100.0
