Source_Raw,Dataset,Total_Records_Raw,Total_Columns_Raw,Duplicate_Rows_Raw,Missing_Cells_Raw,Missing_Primary_Keys_Raw,Valid_Records_Raw,Completeness_Percentage_Raw,Quality_Percentage_Raw,Source_Cleaned,Total_Records_Cleaned,Total_Columns_Cleaned,Duplicate_Rows_Cleaned,Missing_Cells_Cleaned,Missing_Primary_Keys_Cleaned,Valid_Records_Cleaned,Completeness_Percentage_Cleaned,Quality_Percentage_Cleaned,Rows_Removed,Duplicate_Reduction,Missing_Cell_Reduction
Raw,customer_complaints,10000,9,0,2500,0,10000,97.22,100.0,Cleaned,9920,9,0,2482,0,9920,97.22,100.0,80,0,18
Raw,customer_master,20020,11,0,71,20,20000,99.97,99.9,Cleaned,19955,11,0,51,0,19955,99.98,100.0,65,0,20
Raw,employee_attendance,50000,8,0,0,0,50000,100.0,100.0,Cleaned,49390,8,0,0,0,49390,100.0,100.0,610,0,0
Raw,employee_master,500,8,0,11,1,499,99.72,99.8,Cleaned,499,8,0,10,0,499,99.75,100.0,1,0,1
Raw,inventory,120000,13,0,0,0,120000,100.0,100.0,Cleaned,119040,13,0,0,0,119040,100.0,100.0,960,0,0
Raw,invoices,102000,8,0,0,0,102000,100.0,100.0,Cleaned,101416,8,0,0,0,101416,100.0,100.0,584,0,0
Raw,marketing_campaigns,5000,11,0,0,0,5000,100.0,100.0,Cleaned,5000,11,0,0,0,5000,100.0,100.0,0,0,0
Raw,monthly_targets,240,10,0,0,0,240,100.0,100.0,Cleaned,240,10,0,0,0,240,100.0,100.0,0,0,0
Raw,order_items,250000,8,0,0,0,250000,100.0,100.0,Cleaned,246370,8,0,0,0,246370,100.0,100.0,3630,0,0
Raw,orders,100000,8,0,0,0,100000,100.0,100.0,Cleaned,99435,8,0,0,0,99435,100.0,100.0,565,0,0
Raw,payments,76982,8,0,0,0,76982,100.0,100.0,Cleaned,76510,8,0,0,0,76510,100.0,100.0,472,0,0
Raw,product_master,1000,10,0,2,2,998,99.98,99.8,Cleaned,992,10,0,0,0,992,100.0,100.0,8,0,2
Raw,purchases,25000,10,0,0,0,25000,100.0,100.0,Cleaned,24144,10,0,0,0,24144,100.0,100.0,856,0,0
Raw,region_master,20,6,0,0,0,20,100.0,100.0,Cleaned,20,6,0,0,0,20,100.0,100.0,0,0,0
Raw,returns,15000,10,0,0,0,15000,100.0,100.0,Cleaned,14771,10,0,0,0,14771,100.0,100.0,229,0,0
Raw,sales,250000,15,0,0,0,250000,100.0,100.0,Cleaned,246370,15,0,0,0,246370,100.0,100.0,3630,0,0
Raw,suppliers,200,8,0,0,0,200,100.0,100.0,Cleaned,200,8,0,0,0,200,100.0,100.0,0,0,0
Raw,website_activity,200000,10,0,203069,0,200000,89.85,100.0,Cleaned,199529,10,0,202659,0,199529,89.84,100.0,471,0,410
