Source_Row,Reject_Reasons,Complaint_ID,Customer_ID,Order_ID,Complaint_Date,Category,Severity,Resolution_Date,Resolution_Status,Satisfaction_Score
250,Invalid Foreign Key: Order_ID,CP0000249,C000250,O0000250,2026-05-08,Support,Critical,2026-05-17,Resolved,5.0
750,Invalid Foreign Key: Order_ID,CP0000749,C000750,O0000750,2025-09-20,Product,Medium,2025-09-25,Resolved,5.0
786,Invalid Foreign Key: Order_ID,CP0000785,C000786,O0000786,2025-10-26,Delivery,High,2025-10-31,Resolved,1.0
787,Invalid Foreign Key: Customer_ID,CP0000786,C000787,O0000787,2025-10-27,Delivery,High,2025-11-02,Resolved,2.0
996,Invalid Foreign Key: Order_ID,CP0000995,C000996,O0000996,2026-05-24,Refund,Low,2026-06-04,Resolved,1.0
997,Invalid Foreign Key: Customer_ID,CP0000996,C000997,O0000997,2026-05-25,Payment,Low,2026-05-25,Resolved,2.0
1250,Invalid Foreign Key: Order_ID,CP0001249,C001250,O0001250,2026-02-02,Support,Critical,2026-02-03,Resolved,5.0
1573,Invalid Foreign Key: Order_ID,CP0001572,C001573,O0001573,2025-12-22,Delivery,High,2025-12-22,Resolved,3.0
1574,Invalid Foreign Key: Customer_ID,CP0001573,C001574,O0001574,2025-12-23,Product,Medium,2025-12-24,Resolved,4.0
1750,Invalid Foreign Key: Order_ID,CP0001749,C001750,O0001750,2026-06-17,Support,High,2026-06-26,Resolved,5.0
1777,Invalid Foreign Key: Order_ID,CP0001776,C001777,O0001777,2026-07-14,Refund,Critical,,Open,
1993,Invalid Foreign Key: Order_ID,CP0001992,C001993,O0001993,2026-02-15,Support,Critical,,Open,
1994,Invalid Foreign Key: Customer_ID,CP0001993,C001994,O0001994,2026-02-16,Delivery,Critical,2026-02-17,Resolved,4.0
2201,Invalid Foreign Key: Order_ID,CP0002200,C002201,O0002201,2025-09-11,Delivery,Medium,,Open,
2204,Invalid Foreign Key: Customer_ID,CP0002203,C999999,O0002204,2025-09-14,Payment,High,2025-09-21,Resolved,4.0
2250,Invalid Foreign Key: Order_ID,CP0002249,C002250,O0002250,2025-10-30,Payment,Medium,2025-11-04,Resolved,5.0
2360,Invalid Foreign Key: Order_ID,CP0002359,C002360,O0002360,2026-02-17,Support,Critical,2026-02-24,Resolved,5.0
2361,Invalid Foreign Key: Customer_ID,CP0002360,C002361,O0002361,2026-02-18,Payment,Critical,,Open,
2750,Invalid Foreign Key: Order_ID,CP0002749,C002750,O0002750,2026-03-14,Support,Low,2026-03-15,Resolved,5.0
2990,Invalid Foreign Key: Order_ID,CP0002989,C002990,O0002990,2025-11-09,Refund,Low,2025-11-10,Resolved,5.0
2991,Invalid Foreign Key: Customer_ID,CP0002990,C002991,O0002991,2025-11-10,Refund,Critical,2025-11-12,Resolved,1.0
3147,Invalid Foreign Key: Order_ID,CP0003146,C003147,O0003147,2026-04-15,Support,Critical,2026-04-17,Resolved,2.0
3148,Invalid Foreign Key: Customer_ID,CP0003147,C003148,O0003148,2026-04-16,Payment,Critical,2026-04-19,Resolved,3.0
3250,Invalid Foreign Key: Order_ID,CP0003249,C003250,O0003250,2026-07-27,Product,Critical,2026-08-05,Resolved,5.0
3331,Invalid Foreign Key: Order_ID,CP0003330,C003331,O0003331,2025-10-16,Product,Critical,2025-10-22,Resolved,1.0
3554,Invalid Foreign Key: Order_ID,CP0003553,C003554,O0003554,2026-05-27,Refund,High,2026-05-28,Resolved,4.0
3750,Invalid Foreign Key: Order_ID,CP0003749,C003750,O0003750,2025-12-09,Support,Medium,2025-12-14,Resolved,5.0
3934,Invalid Foreign Key: Order_ID,CP0003933,C003934,O0003934,2026-06-11,Product,High,2026-06-20,Resolved,4.0
3935,Invalid Foreign Key: Customer_ID,CP0003934,C003935,O0003935,2026-06-12,Product,High,2026-06-22,Resolved,5.0
3987,Invalid Foreign Key: Order_ID,CP0003986,C003987,O0003987,2026-08-03,Delivery,Low,2026-08-05,Resolved,2.0
3988,Invalid Foreign Key: Customer_ID,CP0003987,C003988,O0003988,2026-08-04,Refund,Medium,2026-08-07,Resolved,3.0
4250,Invalid Foreign Key: Order_ID,CP0004249,C004250,O0004250,2026-04-23,Payment,Low,2026-04-24,Resolved,5.0
4402,Invalid Foreign Key: Order_ID,CP0004401,C004402,O0004402,2025-09-22,Delivery,High,2025-10-01,Resolved,2.0
4407,Invalid Foreign Key: Customer_ID,CP0004406,C999999,O0004407,2025-09-27,Payment,Critical,2025-09-29,Resolved,2.0
4721,Invalid Foreign Key: Order_ID,CP0004720,C004721,O0004721,2026-08-07,Product,Critical,,Open,
4722,Invalid Foreign Key: Customer_ID,CP0004721,C004722,O0004722,2026-08-08,Support,Critical,2026-08-13,Resolved,2.0
4750,Invalid Foreign Key: Order_ID,CP0004749,C004750,O0004750,2025-09-05,Refund,Critical,2025-09-14,Resolved,5.0
4984,Invalid Foreign Key: Order_ID,CP0004983,C004984,O0004984,2026-04-27,Product,Low,2026-04-30,Resolved,4.0
4985,Invalid Foreign Key: Customer_ID,CP0004984,C004985,O0004985,2026-04-28,Payment,Low,,Open,
5250,Invalid Foreign Key: Order_ID,CP0005249,C005250,O0005250,2026-01-18,Refund,Medium,2026-01-23,Resolved,5.0
5331,Invalid Foreign Key: Order_ID,CP0005330,C005331,O0005331,2026-04-09,Payment,High,2026-04-11,Resolved,1.0
5508,Invalid Foreign Key: Order_ID,CP0005507,C005508,O0005508,2025-10-03,Product,Low,2025-10-14,Resolved,3.0
5509,Invalid Foreign Key: Customer_ID,CP0005508,C005509,O0005509,2025-10-04,Product,Medium,2025-10-04,Resolved,4.0
5750,Invalid Foreign Key: Order_ID,CP0005749,C005750,O0005750,2026-06-02,Refund,Critical,2026-06-03,Resolved,5.0
5981,Invalid Foreign Key: Order_ID,CP0005980,C005981,O0005981,2026-01-19,Product,High,2026-01-23,Resolved,1.0
5982,Invalid Foreign Key: Customer_ID,CP0005981,C005982,O0005982,2026-01-20,Product,High,2026-01-25,Resolved,2.0
6250,Invalid Foreign Key: Order_ID,CP0006249,C006250,O0006250,2025-10-15,Payment,Critical,2025-10-24,Resolved,5.0
6295,Invalid Foreign Key: Order_ID,CP0006294,C006295,O0006295,2025-11-29,Refund,Low,2025-12-05,Resolved,5.0
6296,Invalid Foreign Key: Customer_ID,CP0006295,C006296,O0006296,2025-11-30,Payment,Low,2025-12-07,Resolved,1.0
6603,Invalid Foreign Key: Order_ID,CP0006602,C006603,O0006603,2025-10-03,Product,High,2025-10-05,Resolved,3.0
6610,Invalid Foreign Key: Customer_ID,CP0006609,C999999,O0006610,2025-10-10,Payment,High,2025-10-19,Resolved,5.0
6662,Invalid Foreign Key: Order_ID,CP0006661,C006662,O0006662,2025-12-01,Refund,Low,2025-12-02,Resolved,2.0
6750,Invalid Foreign Key: Order_ID,CP0006749,C006750,O0006750,2026-02-27,Delivery,Critical,2026-03-04,Resolved,5.0
6978,Invalid Foreign Key: Order_ID,CP0006977,C006978,O0006978,2025-10-13,Delivery,Low,2025-10-18,Resolved,3.0
6979,Invalid Foreign Key: Customer_ID,CP0006978,C006979,O0006979,2025-10-14,Product,High,2025-10-20,Resolved,4.0
7082,Invalid Foreign Key: Order_ID,CP0007081,C007082,O0007082,2026-01-25,Refund,Low,2026-01-26,Resolved,2.0
7083,Invalid Foreign Key: Customer_ID,CP0007082,C007083,O0007083,2026-01-26,Support,Critical,2026-01-28,Resolved,3.0
7108,Invalid Foreign Key: Order_ID,CP0007107,C007108,O0007108,2026-02-20,Delivery,Critical,2026-02-23,Resolved,3.0
7250,Invalid Foreign Key: Order_ID,CP0007249,C007250,O0007250,2026-07-12,Product,Critical,2026-07-13,Resolved,5.0
7750,Invalid Foreign Key: Order_ID,CP0007749,C007750,O0007750,2025-11-24,Product,Medium,2025-12-03,Resolved,5.0
7869,Invalid Foreign Key: Order_ID,CP0007868,C007869,O0007869,2026-03-23,Product,High,2026-03-31,Resolved,4.0
7870,Invalid Foreign Key: Customer_ID,CP0007869,C007870,O0007870,2026-03-24,Refund,Low,2026-04-02,Resolved,5.0
7975,Invalid Foreign Key: Order_ID,CP0007974,C007975,O0007975,2026-07-07,Payment,Low,2026-07-13,Resolved,5.0
7976,Invalid Foreign Key: Customer_ID,CP0007975,C007976,O0007976,2026-07-08,Delivery,High,2026-07-15,Resolved,1.0
8250,Invalid Foreign Key: Order_ID,CP0008249,C008250,O0008250,2026-04-08,Refund,Critical,2026-04-13,Resolved,5.0
8656,Invalid Foreign Key: Order_ID,CP0008655,C008656,O0008656,2026-05-19,Support,Critical,2026-05-22,Resolved,1.0
8657,Invalid Foreign Key: Customer_ID,CP0008656,C008657,O0008657,2026-05-20,Refund,Low,,Open,
8750,Invalid Foreign Key: Order_ID,CP0008749,C008750,O0008750,2026-08-21,Refund,High,2026-08-22,Resolved,5.0
8804,Invalid Foreign Key: Order_ID,CP0008803,C008804,O0008804,2025-10-14,Payment,Low,2025-10-21,Resolved,4.0
8813,Invalid Foreign Key: Customer_ID,CP0008812,C999999,O0008813,2025-10-23,Refund,High,2025-10-27,Resolved,3.0
8885,Invalid Foreign Key: Order_ID,CP0008884,C008885,O0008885,2026-01-03,Delivery,Medium,2026-01-07,Resolved,5.0
8972,Invalid Foreign Key: Order_ID,CP0008971,C008972,O0008972,2026-03-31,Delivery,Critical,2026-04-07,Resolved,2.0
8973,Invalid Foreign Key: Customer_ID,CP0008972,C008973,O0008973,2026-04-01,Delivery,Low,2026-04-09,Resolved,3.0
9250,Invalid Foreign Key: Order_ID,CP0009249,C009250,O0009250,2026-01-03,Payment,High,2026-01-12,Resolved,5.0
9443,Invalid Foreign Key: Order_ID,CP0009442,C009443,O0009443,2026-07-15,Product,Low,2026-07-25,Resolved,3.0
9444,Invalid Foreign Key: Customer_ID,CP0009443,C009444,O0009444,2026-07-16,Product,Critical,2026-07-27,Resolved,4.0
9750,Invalid Foreign Key: Order_ID,CP0009749,C009750,O0009750,2026-05-18,Payment,Medium,2026-05-23,Resolved,5.0
9969,Invalid Foreign Key: Order_ID,CP0009968,C009969,O0009969,2025-12-23,Support,Critical,,Open,
9970,Invalid Foreign Key: Customer_ID,CP0009969,C009970,O0009970,2025-12-24,Refund,Medium,2026-01-02,Resolved,5.0
9993,Invalid Foreign Key: Order_ID,CP0009992,C009993,O0009993,2026-01-16,Product,Critical,,Open,
