Source_Row,Reject_Reasons,Inventory_ID,Snapshot_Date,Warehouse_ID,Product_ID,Opening_Stock,Purchases,Units_Sold,Returns_In,Adjustments,Closing_Stock,Unit_Cost,Stock_Value,Stockout_Flag
307,Invalid Foreign Key: Product_ID,ST00000306,2026-07-04,W007,P00307,356,6,42,0,2,322,960,309120.0,0
421,Invalid Foreign Key: Product_ID,ST00000420,2025-10-26,W001,P00421,470,120,0,6,-3,593,2500,1482500.0,0
499,Invalid Foreign Key: Product_ID,ST00000498,2026-01-12,W019,P00499,548,198,126,3,-2,621,11080,6880680.0,0
577,Invalid Foreign Key: Product_ID,ST00000576,2026-03-31,W017,P00577,126,276,252,0,-1,149,8660,1290340.0,0
614,Invalid Foreign Key: Product_ID,ST00000613,2026-05-07,W014,P00614,163,13,91,1,1,87,1730,150510.0,0
842,Invalid Foreign Key: Product_ID,ST00000841,2025-12-21,W002,P00842,391,241,7,4,-2,627,4810,3015870.0,0
921,Invalid Foreign Key: Product_ID,ST00000920,2026-03-10,W001,P00921,470,20,140,2,0,352,2500,880000.0,0
998,Invalid Foreign Key: Product_ID,ST00000997,2026-05-26,W018,P00998,547,97,259,7,0,392,10970,4300240.0,0
1307,Invalid Foreign Key: Product_ID,ST00001306,2026-03-31,W007,P00307,356,106,322,1,1,142,960,136320.0,0
1421,Invalid Foreign Key: Product_ID,ST00001420,2026-07-23,W001,P00421,470,220,280,7,3,420,2500,1050000.0,0
1499,Invalid Foreign Key: Product_ID,ST00001498,2025-10-09,W019,P00499,548,298,406,4,-3,441,11080,4886280.0,0
1577,Invalid Foreign Key: Product_ID,ST00001576,2025-12-26,W017,P00577,126,76,112,1,-2,89,8660,770740.0,0
1614,Invalid Foreign Key: Product_ID,ST00001613,2026-02-01,W014,P00614,163,113,371,2,0,-93,1730,-160890.0,1
1842,Invalid Foreign Key: Product_ID,ST00001841,2025-09-17,W002,P00842,391,41,287,5,-3,147,4810,707070.0,0
1921,Invalid Foreign Key: Product_ID,ST00001920,2025-12-05,W001,P00921,470,120,0,3,-1,592,2500,1480000.0,0
1998,Invalid Foreign Key: Product_ID,ST00001997,2026-02-20,W018,P00998,547,197,119,8,-1,632,10970,6933040.0,0
2307,Invalid Foreign Key: Product_ID,ST00002306,2025-12-26,W007,P00307,356,206,182,2,0,382,960,366720.0,0
2421,Invalid Foreign Key: Product_ID,ST00002420,2026-04-19,W001,P00421,470,20,140,8,2,360,2500,900000.0,0
2499,Invalid Foreign Key: Product_ID,ST00002498,2026-07-06,W019,P00499,548,98,266,5,3,388,11080,4299040.0,0
2577,Invalid Foreign Key: Product_ID,ST00002576,2025-09-22,W017,P00577,126,176,392,2,-3,-91,8660,-788060.0,1
2614,Invalid Foreign Key: Product_ID,ST00002613,2025-10-29,W014,P00614,163,213,231,3,-1,147,1730,254310.0,0
2842,Invalid Foreign Key: Product_ID,ST00002841,2026-06-14,W002,P00842,391,141,147,6,3,394,4810,1895140.0,0
2921,Invalid Foreign Key: Product_ID,ST00002920,2025-09-01,W001,P00921,470,220,280,4,-2,412,2500,1030000.0,0
2998,Invalid Foreign Key: Product_ID,ST00002997,2025-11-17,W018,P00998,547,297,399,0,-2,443,10970,4859710.0,0
3307,Invalid Foreign Key: Product_ID,ST00003306,2025-09-22,W007,P00307,356,6,42,3,-1,322,960,309120.0,0
3421,Invalid Foreign Key: Product_ID,ST00003420,2026-01-14,W001,P00421,470,120,0,0,1,591,2500,1477500.0,0
3499,Invalid Foreign Key: Product_ID,ST00003498,2026-04-02,W019,P00499,548,198,126,6,2,628,11080,6958240.0,0
3577,Invalid Foreign Key: Product_ID,ST00003576,2026-06-19,W017,P00577,126,276,252,3,3,156,8660,1350960.0,0
3614,Invalid Foreign Key: Product_ID,ST00003613,2026-07-26,W014,P00614,163,13,91,4,-2,87,1730,150510.0,0
3842,Invalid Foreign Key: Product_ID,ST00003841,2026-03-11,W002,P00842,391,241,7,7,2,634,4810,3049540.0,0
3921,Invalid Foreign Key: Product_ID,ST00003920,2026-05-29,W001,P00921,470,20,140,5,-3,352,2500,880000.0,0
3998,Invalid Foreign Key: Product_ID,ST00003997,2026-08-14,W018,P00998,547,97,259,1,-3,383,10970,4201510.0,0
4307,Invalid Foreign Key: Product_ID,ST00004306,2026-06-19,W007,P00307,356,106,322,4,-2,142,960,136320.0,0
4421,Invalid Foreign Key: Product_ID,ST00004420,2025-10-11,W001,P00421,470,220,280,1,0,411,2500,1027500.0,0
4499,Invalid Foreign Key: Product_ID,ST00004498,2025-12-28,W019,P00499,548,298,406,7,1,448,11080,4963840.0,0
4577,Invalid Foreign Key: Product_ID,ST00004576,2026-03-16,W017,P00577,126,76,112,4,2,96,8660,831360.0,0
4614,Invalid Foreign Key: Product_ID,ST00004613,2026-04-22,W014,P00614,163,113,371,5,-3,-93,1730,-160890.0,1
4842,Invalid Foreign Key: Product_ID,ST00004841,2025-12-06,W002,P00842,391,41,287,8,1,154,4810,740740.0,0
4921,Invalid Foreign Key: Product_ID,ST00004920,2026-02-23,W001,P00921,470,120,0,6,3,599,2500,1497500.0,0
4998,Invalid Foreign Key: Product_ID,ST00004997,2026-05-11,W018,P00998,547,197,119,2,3,630,10970,6911100.0,0
5307,Invalid Foreign Key: Product_ID,ST00005306,2026-03-16,W007,P00307,356,206,182,5,-3,382,960,366720.0,0
5421,Invalid Foreign Key: Product_ID,ST00005420,2026-07-08,W001,P00421,470,20,140,2,-1,351,2500,877500.0,0
5499,Invalid Foreign Key: Product_ID,ST00005498,2025-09-24,W019,P00499,548,98,266,8,0,388,11080,4299040.0,0
5577,Invalid Foreign Key: Product_ID,ST00005576,2025-12-11,W017,P00577,126,176,392,5,1,-84,8660,-727440.0,1
5614,Invalid Foreign Key: Product_ID,ST00005613,2026-01-17,W014,P00614,163,213,231,6,3,154,1730,266420.0,0
5842,Invalid Foreign Key: Product_ID,ST00005841,2025-09-02,W002,P00842,391,141,147,0,0,385,4810,1851850.0,0
5921,Invalid Foreign Key: Product_ID,ST00005920,2025-11-20,W001,P00921,470,220,280,7,2,419,2500,1047500.0,0
5998,Invalid Foreign Key: Product_ID,ST00005997,2026-02-05,W018,P00998,547,297,399,3,2,450,10970,4936500.0,0
6307,Invalid Foreign Key: Product_ID,ST00006306,2025-12-11,W007,P00307,356,6,42,6,3,329,960,315840.0,0
6421,Invalid Foreign Key: Product_ID,ST00006420,2026-04-04,W001,P00421,470,120,0,3,-2,591,2500,1477500.0,0
6499,Invalid Foreign Key: Product_ID,ST00006498,2026-06-21,W019,P00499,548,198,126,0,-1,619,11080,6858520.0,0
6577,Invalid Foreign Key: Product_ID,ST00006576,2025-09-07,W017,P00577,126,276,252,6,0,156,8660,1350960.0,0
6614,Invalid Foreign Key: Product_ID,ST00006613,2025-10-14,W014,P00614,163,13,91,7,2,94,1730,162620.0,0
6842,Invalid Foreign Key: Product_ID,ST00006841,2026-05-30,W002,P00842,391,241,7,1,-1,625,4810,3006250.0,0
6921,Invalid Foreign Key: Product_ID,ST00006920,2026-08-17,W001,P00921,470,20,140,8,1,359,2500,897500.0,0
6998,Invalid Foreign Key: Product_ID,ST00006997,2025-11-02,W018,P00998,547,97,259,4,1,390,10970,4278300.0,0
7307,Invalid Foreign Key: Product_ID,ST00007306,2025-09-07,W007,P00307,356,106,322,7,2,149,960,143040.0,0
7421,Invalid Foreign Key: Product_ID,ST00007420,2025-12-30,W001,P00421,470,220,280,4,-3,411,2500,1027500.0,0
7499,Invalid Foreign Key: Product_ID,ST00007498,2026-03-18,W019,P00499,548,298,406,1,-2,439,11080,4864120.0,0
7577,Invalid Foreign Key: Product_ID,ST00007576,2026-06-04,W017,P00577,126,76,112,7,-1,96,8660,831360.0,0
7614,Invalid Foreign Key: Product_ID,ST00007613,2026-07-11,W014,P00614,163,113,371,8,1,-86,1730,-148780.0,1
7842,Invalid Foreign Key: Product_ID,ST00007841,2026-02-24,W002,P00842,391,41,287,2,-2,145,4810,697450.0,0
7921,Invalid Foreign Key: Product_ID,ST00007920,2026-05-14,W001,P00921,470,120,0,0,0,590,2500,1475000.0,0
7998,Invalid Foreign Key: Product_ID,ST00007997,2026-07-30,W018,P00998,547,197,119,5,0,630,10970,6911100.0,0
8307,Invalid Foreign Key: Product_ID,ST00008306,2026-06-04,W007,P00307,356,206,182,8,1,389,960,373440.0,0
8421,Invalid Foreign Key: Product_ID,ST00008420,2025-09-26,W001,P00421,470,20,140,5,3,358,2500,895000.0,0
8499,Invalid Foreign Key: Product_ID,ST00008498,2025-12-13,W019,P00499,548,98,266,2,-3,379,11080,4199320.0,0
8577,Invalid Foreign Key: Product_ID,ST00008576,2026-03-01,W017,P00577,126,176,392,8,-2,-84,8660,-727440.0,1
8614,Invalid Foreign Key: Product_ID,ST00008613,2026-04-07,W014,P00614,163,213,231,0,0,145,1730,250850.0,0
8842,Invalid Foreign Key: Product_ID,ST00008841,2025-11-21,W002,P00842,391,141,147,3,-3,385,4810,1851850.0,0
8921,Invalid Foreign Key: Product_ID,ST00008920,2026-02-08,W001,P00921,470,220,280,1,-1,410,2500,1025000.0,0
8998,Invalid Foreign Key: Product_ID,ST00008997,2026-04-26,W018,P00998,547,297,399,6,-1,450,10970,4936500.0,0
9307,Invalid Foreign Key: Product_ID,ST00009306,2026-03-01,W007,P00307,356,6,42,0,0,320,960,307200.0,0
9421,Invalid Foreign Key: Product_ID,ST00009420,2026-06-23,W001,P00421,470,120,0,6,2,598,2500,1495000.0,0
9499,Invalid Foreign Key: Product_ID,ST00009498,2025-09-09,W019,P00499,548,198,126,3,3,626,11080,6936080.0,0
9577,Invalid Foreign Key: Product_ID,ST00009576,2025-11-26,W017,P00577,126,276,252,0,-3,147,8660,1273020.0,0
9614,Invalid Foreign Key: Product_ID,ST00009613,2026-01-02,W014,P00614,163,13,91,1,-1,85,1730,147050.0,0
9842,Invalid Foreign Key: Product_ID,ST00009841,2026-08-18,W002,P00842,391,241,7,4,3,632,4810,3039920.0,0
9921,Invalid Foreign Key: Product_ID,ST00009920,2025-11-05,W001,P00921,470,20,140,2,-2,350,2500,875000.0,0
9998,Invalid Foreign Key: Product_ID,ST00009997,2026-01-21,W018,P00998,547,97,259,7,-2,390,10970,4278300.0,0
10307,Invalid Foreign Key: Product_ID,ST00010306,2025-11-26,W007,P00307,356,106,322,1,-1,140,960,134400.0,0
10421,Invalid Foreign Key: Product_ID,ST00010420,2026-03-20,W001,P00421,470,220,280,7,1,418,2500,1045000.0,0
10499,Invalid Foreign Key: Product_ID,ST00010498,2026-06-06,W019,P00499,548,298,406,4,2,446,11080,4941680.0,0
10577,Invalid Foreign Key: Product_ID,ST00010576,2026-08-23,W017,P00577,126,76,112,1,3,94,8660,814040.0,0
10614,Invalid Foreign Key: Product_ID,ST00010613,2025-09-29,W014,P00614,163,113,371,2,-2,-95,1730,-164350.0,1
10842,Invalid Foreign Key: Product_ID,ST00010841,2026-05-15,W002,P00842,391,41,287,5,2,152,4810,731120.0,0
10921,Invalid Foreign Key: Product_ID,ST00010920,2026-08-02,W001,P00921,470,120,0,3,-3,590,2500,1475000.0,0
10998,Invalid Foreign Key: Product_ID,ST00010997,2025-10-18,W018,P00998,547,197,119,8,-3,630,10970,6911100.0,0
11307,Invalid Foreign Key: Product_ID,ST00011306,2026-08-23,W007,P00307,356,206,182,2,-2,380,960,364800.0,0
11421,Invalid Foreign Key: Product_ID,ST00011420,2025-12-15,W001,P00421,470,20,140,8,0,358,2500,895000.0,0
11499,Invalid Foreign Key: Product_ID,ST00011498,2026-03-03,W019,P00499,548,98,266,5,1,386,11080,4276880.0,0
11577,Invalid Foreign Key: Product_ID,ST00011576,2026-05-20,W017,P00577,126,176,392,2,2,-86,8660,-744760.0,1
11614,Invalid Foreign Key: Product_ID,ST00011613,2026-06-26,W014,P00614,163,213,231,3,-3,145,1730,250850.0,0
11842,Invalid Foreign Key: Product_ID,ST00011841,2026-02-09,W002,P00842,391,141,147,6,1,392,4810,1885520.0,0
11921,Invalid Foreign Key: Product_ID,ST00011920,2026-04-29,W001,P00921,470,220,280,4,3,417,2500,1042500.0,0
11998,Invalid Foreign Key: Product_ID,ST00011997,2026-07-15,W018,P00998,547,297,399,0,3,448,10970,4914560.0,0
12307,Invalid Foreign Key: Product_ID,ST00012306,2026-05-20,W007,P00307,356,6,42,3,-3,320,960,307200.0,0
12421,Invalid Foreign Key: Product_ID,ST00012420,2025-09-11,W001,P00421,470,120,0,0,-1,589,2500,1472500.0,0
12499,Invalid Foreign Key: Product_ID,ST00012498,2025-11-28,W019,P00499,548,198,126,6,0,626,11080,6936080.0,0
12577,Invalid Foreign Key: Product_ID,ST00012576,2026-02-14,W017,P00577,126,276,252,3,1,154,8660,1333640.0,0
12614,Invalid Foreign Key: Product_ID,ST00012613,2026-03-23,W014,P00614,163,13,91,4,3,92,1730,159160.0,0
