Source_Row,Reject_Reasons,Invoice_ID,Order_ID,Customer_ID,Invoice_Date,Due_Date,Invoice_Amount,Tax_Amount,Invoice_Status
251,Invalid Foreign Key: Order_ID,INV0000250,O0000250,C000251,2026-05-09,2026-06-08,1949.05,350.83,Issued
751,Invalid Foreign Key: Order_ID,INV0000750,O0000750,C000751,2025-09-21,2025-10-21,1935.66,348.42,Issued
787,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0000786,O0000786,C000787,2025-10-27,2025-11-26,6598.07,1187.65,Issued
997,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0000996,O0000996,C000997,2026-05-25,2026-06-24,7340.62,1321.31,Issued
1251,Invalid Foreign Key: Order_ID,INV0001250,O0001250,C001251,2026-02-03,2026-03-05,1969.15,354.45,Issued
1574,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0001573,O0001573,C001574,2025-12-23,2026-01-22,11188.62,2013.95,Overdue
1751,Invalid Foreign Key: Order_ID,INV0001750,O0001750,C001751,2026-06-18,2026-07-18,1955.75,352.04,Issued
1778,Invalid Foreign Key: Order_ID,INV0001777,O0001777,C001778,2026-07-15,2026-08-14,8742.88,1573.72,Issued
1994,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0001993,O0001993,C001994,2026-02-16,2026-03-18,14138.54,2544.94,Issued
2202,Invalid Foreign Key: Order_ID,INV0002201,O0002201,C002202,2025-09-12,2025-10-12,283.48,51.03,Issued
2251,Invalid Foreign Key: Order_ID,INV0002250,O0002250,C002251,2025-10-31,2025-11-30,1942.36,349.62,Issued
2361,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0002360,O0002360,C002361,2026-02-18,2026-03-20,2301.86,414.34,Issued
2751,Invalid Foreign Key: Order_ID,INV0002750,O0002750,C002751,2026-03-15,2026-04-14,1928.96,347.21,Overdue
2991,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0002990,O0002990,C002991,2025-11-10,2025-12-10,3400.48,612.09,Issued
3148,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0003147,O0003147,C003148,2026-04-16,2026-05-16,5572.15,1002.99,Issued
3251,Invalid Foreign Key: Order_ID,INV0003250,O0003250,C003251,2026-07-28,2026-08-27,1962.45,353.24,Issued
3332,Invalid Foreign Key: Order_ID,INV0003331,O0003331,C003332,2025-10-17,2025-11-16,2471.15,444.81,Issued
3555,Invalid Foreign Key: Order_ID,INV0003554,O0003554,C003555,2026-05-28,2026-06-27,10482.75,1886.89,Issued
3751,Invalid Foreign Key: Order_ID,INV0003750,O0003750,C003751,2025-12-10,2026-01-09,1949.05,350.83,Issued
3935,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0003934,O0003934,C003935,2026-06-12,2026-07-12,6818.7,1227.37,Issued
3988,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0003987,O0003987,C003988,2026-08-04,2026-09-03,10042.65,1807.68,Issued
4251,Invalid Foreign Key: Order_ID,INV0004250,O0004250,C004251,2026-04-24,2026-05-24,1935.66,348.42,Issued
4403,Invalid Foreign Key: Order_ID,INV0004402,O0004402,C004403,2025-09-23,2025-10-23,531.77,95.72,Issued
4722,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0004721,O0004721,C004722,2026-08-08,2026-09-07,1753.37,315.61,Issued
4751,Invalid Foreign Key: Order_ID,INV0004750,O0004750,C004751,2025-09-06,2025-10-06,1969.15,354.45,Issued
4985,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0004984,O0004984,C004985,2026-04-28,2026-05-28,16068.88,2892.4,Issued
5251,Invalid Foreign Key: Order_ID,INV0005250,O0005250,C005251,2026-01-19,2026-02-18,1955.75,352.04,Issued
5332,Invalid Foreign Key: Order_ID,INV0005331,O0005331,C005332,2026-04-10,2026-05-10,2522.64,454.07,Issued
5509,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0005508,O0005508,C005509,2025-10-04,2025-11-03,1584.88,285.28,Issued
5751,Invalid Foreign Key: Order_ID,INV0005750,O0005750,C005751,2026-06-03,2026-07-03,1942.36,349.62,Issued
5982,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0005981,O0005981,C005982,2026-01-20,2026-02-19,6163.04,1109.35,Issued
6251,Invalid Foreign Key: Order_ID,INV0006250,O0006250,C006251,2025-10-16,2025-11-15,1928.96,347.21,Issued
6296,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0006295,O0006295,C006296,2025-11-30,2025-12-30,3633.18,653.97,Issued
6604,Invalid Foreign Key: Order_ID,INV0006603,O0006603,C006604,2025-10-04,2025-11-03,869.84,156.57,Issued
6663,Invalid Foreign Key: Order_ID,INV0006662,O0006662,C006663,2025-12-02,2026-01-01,7174.62,1291.43,Issued
6751,Invalid Foreign Key: Order_ID,INV0006750,O0006750,C006751,2026-02-28,2026-03-30,1962.45,353.24,Issued
6979,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0006978,O0006978,C006979,2025-10-14,2025-11-13,11803.15,2124.57,Issued
7083,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0007082,O0007082,C007083,2026-01-26,2026-02-25,9387.06,1689.67,Issued
7109,Invalid Foreign Key: Order_ID,INV0007108,O0007108,C007109,2026-02-21,2026-03-23,1595.88,287.26,Issued
7251,Invalid Foreign Key: Order_ID,INV0007250,O0007250,C007251,2026-07-13,2026-08-12,1949.05,350.83,Issued
7751,Invalid Foreign Key: Order_ID,INV0007750,O0007750,C007751,2025-11-25,2025-12-25,1935.66,348.42,Issued
7870,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0007869,O0007869,C007870,2026-03-24,2026-04-23,13157.24,2368.3,Issued
7976,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0007975,O0007975,C007976,2026-07-08,2026-08-07,2890.63,520.31,Overdue
8251,Invalid Foreign Key: Order_ID,INV0008250,O0008250,C008251,2026-04-09,2026-05-09,1969.15,354.45,Overdue
8657,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0008656,O0008656,C008657,2026-05-20,2026-06-19,4385.34,789.36,Issued
8751,Invalid Foreign Key: Order_ID,INV0008750,O0008750,C008751,2026-08-22,2026-09-21,1955.75,352.04,Issued
8805,Invalid Foreign Key: Order_ID,INV0008804,O0008804,C008805,2025-10-15,2025-11-14,1264.25,227.57,Issued
8886,Invalid Foreign Key: Order_ID,INV0008885,O0008885,C008886,2026-01-04,2026-02-03,3261.91,587.14,Issued
8973,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Customer_ID,INV0008972,O0008972,C008973,2026-04-01,2026-05-01,8280.84,1490.55,Issued
