Source_Row,Reject_Reasons,Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount_Pct,Gross_Amount,Net_Amount
251,Invalid Foreign Key: Order_ID,OI00000250,O0000250,P00251,1,9250.0,0.05,9250.0,676.9
307,Invalid Foreign Key: Product_ID,OI00000306,O0000306,P00307,2,1550.0,0.05,3100.0,226.85
421,Invalid Foreign Key: Product_ID,OI00000420,O0000420,P00421,1,4000.0,0.0,4000.0,308.12
499,Invalid Foreign Key: Product_ID,OI00000498,O0000498,P00499,4,17650.0,0.01,70600.0,5383.95
577,Invalid Foreign Key: Product_ID,OI00000576,O0000576,P00577,2,13800.0,0.02,27600.0,2083.51
614,Invalid Foreign Key: Product_ID,OI00000613,O0000613,P00614,4,2775.0,0.04,11100.0,820.83
751,Invalid Foreign Key: Order_ID,OI00000750,O0000750,P00751,1,9250.0,0.01,9250.0,705.4
787,Invalid Foreign Key: Order_ID,OI00000786,O0000786,P00787,2,15550.0,0.02,31100.0,2347.73
842,Invalid Foreign Key: Product_ID,OI00000841,O0000841,P00842,2,7675.0,0.01,15350.0,1170.59
921,Invalid Foreign Key: Product_ID,OI00000920,O0000920,P00921,1,4000.0,0.03,4000.0,298.88
997,Invalid Foreign Key: Order_ID,OI00000996,O0000996,P00997,2,17300.0,0.02,34600.0,2611.94
998,Invalid Foreign Key: Product_ID,OI00000997,O0000997,P00998,3,17475.0,0.03,52425.0,3917.16
1251,Invalid Foreign Key: Order_ID,OI00001250,O0001250,P00251,1,9250.0,0.04,9250.0,684.03
1307,Invalid Foreign Key: Product_ID,OI00001306,O0001306,P00307,2,1550.0,0.04,3100.0,229.24
1421,Invalid Foreign Key: Product_ID,OI00001420,O0001420,P00421,1,4000.0,0.06,4000.0,289.63
1499,Invalid Foreign Key: Product_ID,OI00001498,O0001498,P00499,4,17650.0,0.0,70600.0,5438.33
1574,Invalid Foreign Key: Order_ID,OI00001573,O0001573,P00574,4,13275.0,0.05,53100.0,3885.79
1577,Invalid Foreign Key: Product_ID,OI00001576,O0001576,P00577,2,13800.0,0.01,27600.0,2104.77
1614,Invalid Foreign Key: Product_ID,OI00001613,O0001613,P00614,4,2775.0,0.03,11100.0,829.38
1751,Invalid Foreign Key: Order_ID,OI00001750,O0001750,P00751,1,9250.0,0.0,9250.0,712.53
1778,Invalid Foreign Key: Order_ID,OI00001777,O0001777,P00778,3,13975.0,0.06,41925.0,3035.72
1842,Invalid Foreign Key: Product_ID,OI00001841,O0001841,P00842,2,7675.0,0.0,15350.0,1182.41
