Source_Row,Reject_Reasons,Order_ID,Customer_ID,Order_Date,Region_ID,Sales_Employee_ID,Channel,Order_Status,Management_Order_Value
251,Invalid Foreign Key: Sales_Employee_ID,O0000250,C000251,2026-05-09,R011,E00251,Referral,Completed,2073.46
751,Invalid Foreign Key: Sales_Employee_ID,O0000750,C000751,2025-09-21,R011,E00251,Instagram,Completed,2059.21
787,Invalid Foreign Key: Customer_ID,O0000786,C000787,2025-10-27,R007,E00287,Organic Search,Completed,7019.23
997,Invalid Foreign Key: Customer_ID,O0000996,C000997,2026-05-25,R017,E00497,Organic Search,Completed,7809.17
1251,Invalid Foreign Key: Sales_Employee_ID,O0001250,C001251,2026-02-03,R011,E00251,Organic Search,Completed,2094.84
1574,Invalid Foreign Key: Customer_ID,O0001573,C001574,2025-12-23,R014,E00074,Google Ads,Returned,11902.79
1751,Invalid Foreign Key: Sales_Employee_ID,O0001750,C001751,2026-06-18,R011,E00251,Email,Completed,2080.59
1778,Invalid Foreign Key: Sales_Employee_ID,O0001777,C001778,2026-07-15,R018,E99999,Organic Search,Completed,9300.94
1994,Invalid Foreign Key: Customer_ID,O0001993,C001994,2026-02-16,R014,E00494,Referral,Completed,15041.0
2202,Invalid Foreign Key: Customer_ID,O0002201,C999999,2025-09-12,R002,E00202,Organic Search,Completed,301.57
2251,Invalid Foreign Key: Sales_Employee_ID,O0002250,C002251,2025-10-31,R011,E00251,Email,Completed,2066.34
2361,Invalid Foreign Key: Customer_ID,O0002360,C002361,2026-02-18,R001,E00361,Organic Search,Completed,2448.79
2751,Invalid Foreign Key: Sales_Employee_ID,O0002750,C002751,2026-03-15,R011,E00251,Email,Completed,2052.09
2991,Invalid Foreign Key: Customer_ID,O0002990,C002991,2025-11-10,R011,E00491,Referral,Returned,3617.53
3148,Invalid Foreign Key: Customer_ID,O0003147,C003148,2026-04-16,R008,E00148,Instagram,Completed,5927.82
3251,Invalid Foreign Key: Sales_Employee_ID,O0003250,C003251,2026-07-28,R011,E00251,Instagram,Returned,2087.71
3332,Future Date: Order_Date,O0003331,C003332,2027-02-01,R012,E00332,Google Ads,Completed,2628.89
3555,Invalid Foreign Key: Sales_Employee_ID,O0003554,C003555,2026-05-28,R015,E99999,Referral,Completed,11151.86
3751,Invalid Foreign Key: Sales_Employee_ID,O0003750,C003751,2025-12-10,R011,E00251,Organic Search,Completed,2073.46
3935,Invalid Foreign Key: Customer_ID,O0003934,C003935,2026-06-12,R015,E00435,Instagram,Completed,7253.94
3988,Invalid Foreign Key: Customer_ID,O0003987,C003988,2026-08-04,R008,E00488,Google Ads,Completed,10683.67
4251,Invalid Foreign Key: Sales_Employee_ID,O0004250,C004251,2026-04-24,R011,E00251,Email,Completed,2059.21
4403,Invalid Foreign Key: Customer_ID,O0004402,C999999,2025-09-23,R003,E00403,Referral,Completed,565.71
4722,Invalid Foreign Key: Customer_ID,O0004721,C004722,2026-08-08,R002,E00222,Google Ads,Completed,1865.29
4751,Invalid Foreign Key: Sales_Employee_ID,O0004750,C004751,2025-09-06,R011,E00251,Referral,Cancelled,2094.84
4985,Invalid Foreign Key: Customer_ID,O0004984,C004985,2026-04-28,R005,E00485,Referral,Completed,17094.55
5251,Invalid Foreign Key: Sales_Employee_ID,O0005250,C005251,2026-01-19,R011,E00251,Organic Search,Completed,2080.59
5332,Invalid Foreign Key: Sales_Employee_ID,O0005331,C005332,2026-04-10,R012,E99999,Organic Search,Completed,2683.66
5509,Invalid Foreign Key: Customer_ID,O0005508,C005509,2025-10-04,R009,E00009,Referral,Completed,1686.04
5751,Invalid Foreign Key: Sales_Employee_ID,O0005750,C005751,2026-06-03,R011,E00251,Email,Completed,2066.34
5982,Invalid Foreign Key: Customer_ID,O0005981,C005982,2026-01-20,R002,E00482,Email,Completed,6556.43
6251,Invalid Foreign Key: Sales_Employee_ID,O0006250,C006251,2025-10-16,R011,E00251,Referral,Completed,2052.09
6296,Invalid Foreign Key: Customer_ID,O0006295,C006296,2025-11-30,R016,E00296,Instagram,Completed,3865.09
6604,Invalid Foreign Key: Customer_ID,O0006603,C999999,2025-10-04,R004,E00104,Instagram,Completed,925.36
6663,Future Date: Order_Date,O0006662,C006663,2027-02-01,R003,E00163,Instagram,Completed,7632.58
6751,Invalid Foreign Key: Sales_Employee_ID,O0006750,C006751,2026-02-28,R011,E00251,Google Ads,Completed,2087.71
6979,Invalid Foreign Key: Customer_ID,O0006978,C006979,2025-10-14,R019,E00479,Instagram,Completed,12556.54
7083,Invalid Foreign Key: Customer_ID,O0007082,C007083,2026-01-26,R003,E00083,Instagram,Completed,9986.24
7109,Invalid Foreign Key: Sales_Employee_ID,O0007108,C007109,2026-02-21,R009,E99999,Email,Completed,1697.75
7251,Invalid Foreign Key: Sales_Employee_ID,O0007250,C007251,2026-07-13,R011,E00251,Organic Search,Completed,2073.46
7751,Invalid Foreign Key: Sales_Employee_ID,O0007750,C007751,2025-11-25,R011,E00251,Email,Completed,2059.21
7870,Invalid Foreign Key: Customer_ID,O0007869,C007870,2026-03-24,R010,E00370,Google Ads,Completed,13997.07
7976,Invalid Foreign Key: Customer_ID,O0007975,C007976,2026-07-08,R016,E00476,Referral,Completed,3075.14
8251,Invalid Foreign Key: Sales_Employee_ID,O0008250,C008251,2026-04-09,R011,E00251,Organic Search,Completed,2094.84
8657,Invalid Foreign Key: Customer_ID,O0008656,C008657,2026-05-20,R017,E00157,Referral,Completed,4665.26
8751,Invalid Foreign Key: Sales_Employee_ID,O0008750,C008751,2026-08-22,R011,E00251,Email,Completed,2080.59
8805,Invalid Foreign Key: Customer_ID,O0008804,C999999,2025-10-15,R005,E00305,Google Ads,Completed,1344.95
8886,Invalid Foreign Key: Sales_Employee_ID,O0008885,C008886,2026-01-04,R006,E99999,Organic Search,Completed,3470.12
8973,Invalid Foreign Key: Customer_ID,O0008972,C008973,2026-04-01,R013,E00473,Instagram,Completed,8809.41
9251,Invalid Foreign Key: Sales_Employee_ID,O0009250,C009251,2026-01-04,R011,E00251,Instagram,Completed,2066.34
9444,Invalid Foreign Key: Customer_ID,O0009443,C009444,2026-07-16,R004,E00444,Organic Search,Cancelled,7220.2
9751,Invalid Foreign Key: Sales_Employee_ID,O0009750,C009751,2026-05-19,R011,E00251,Instagram,Returned,2052.09
9970,Invalid Foreign Key: Customer_ID,O0009969,C009970,2025-12-24,R010,E00470,Email,Completed,13997.07
9994,Future Date: Order_Date,O0009993,C009994,2027-02-01,R014,E00494,Email,Completed,15196.06
10008,Duplicate Primary Key,O0010006,C010008,2026-01-31,R008,E00008,Google Ads,Completed,1171.98
10231,Invalid Foreign Key: Customer_ID,O0010230,C010231,2025-09-11,R011,E00231,Instagram,Completed,1284.48
10251,Invalid Foreign Key: Sales_Employee_ID,O0010250,C010251,2025-10-01,R011,E00251,Referral,Completed,2087.71
10663,Invalid Foreign Key: Sales_Employee_ID,O0010662,C010663,2025-11-17,R003,E99999,Referral,Completed,7580.12
10751,Invalid Foreign Key: Sales_Employee_ID,O0010750,C010751,2026-02-13,R011,E00251,Referral,Completed,2073.46
10967,Invalid Foreign Key: Customer_ID,O0010966,C010967,2025-09-17,R007,E00467,Instagram,Completed,5457.9
11006,Invalid Foreign Key: Customer_ID,O0011005,C999999,2025-10-26,R006,E00006,Instagram,Completed,306.1
11018,Invalid Foreign Key: Customer_ID,O0011017,C011018,2025-11-07,R018,E00018,Email,Completed,2312.76
11251,Invalid Foreign Key: Sales_Employee_ID,O0011250,C011251,2026-06-28,R011,E00251,Instagram,Completed,2059.21
11751,Invalid Foreign Key: Sales_Employee_ID,O0011750,C011751,2025-11-10,R011,E00251,Instagram,Completed,2094.84
11805,Invalid Foreign Key: Customer_ID,O0011804,C011805,2026-01-03,R005,E00305,Organic Search,Returned,1354.19
11964,Invalid Foreign Key: Customer_ID,O0011963,C011964,2026-06-11,R004,E00464,Email,Completed,10369.19
12251,Invalid Foreign Key: Sales_Employee_ID,O0012250,C012251,2026-03-25,R011,E00251,Referral,Completed,2080.59
12440,Invalid Foreign Key: Sales_Employee_ID,O0012439,C012440,2025-09-30,R020,E99999,Referral,Completed,8238.0
12592,Invalid Foreign Key: Customer_ID,O0012591,C012592,2026-03-01,R012,E00092,Google Ads,Completed,7363.59
12751,Invalid Foreign Key: Sales_Employee_ID,O0012750,C012751,2026-08-07,R011,E00251,Organic Search,Completed,2066.34
12961,Invalid Foreign Key: Customer_ID,O0012960,C012961,2026-03-05,R001,E00461,Instagram,Completed,2457.26
13207,Invalid Foreign Key: Customer_ID,O0013206,C999999,2025-11-06,R007,E00207,Instagram,Completed,702.05
13251,Invalid Foreign Key: Sales_Employee_ID,O0013250,C013251,2025-12-20,R011,E00251,Instagram,Completed,2052.09
13325,Future Date: Order_Date,O0013324,C013325,2027-02-01,R005,E00325,Referral,Completed,5249.61
13379,Invalid Foreign Key: Customer_ID,O0013378,C013379,2026-04-27,R019,E00379,Referral,Completed,12600.14
13751,Invalid Foreign Key: Sales_Employee_ID,O0013750,C013751,2026-05-04,R011,E00251,Organic Search,Completed,2087.71
13958,Invalid Foreign Key: Customer_ID,O0013957,C013958,2025-11-27,R018,E00458,Google Ads,Completed,6971.54
14166,Invalid Foreign Key: Customer_ID,O0014165,C014166,2026-06-23,R006,E00166,Google Ads,Completed,2689.32
14217,Invalid Foreign Key: Sales_Employee_ID,O0014216,C014217,2026-08-13,R017,E99999,Google Ads,Completed,1464.19
14251,Invalid Foreign Key: Sales_Employee_ID,O0014250,C014251,2025-09-16,R011,E00251,Referral,Cancelled,2073.46
14751,Invalid Foreign Key: Sales_Employee_ID,O0014750,C014751,2026-01-29,R011,E00251,Organic Search,Completed,2059.21
14953,Invalid Foreign Key: Customer_ID,O0014952,C014953,2026-08-19,R013,E00453,Organic Search,Completed,6477.93
14955,Invalid Foreign Key: Customer_ID,O0014954,C014955,2026-08-21,R015,E00455,Organic Search,Completed,11228.5
15251,Invalid Foreign Key: Sales_Employee_ID,O0015250,C015251,2026-06-13,R011,E00251,Referral,Completed,2094.84
15408,Invalid Foreign Key: Customer_ID,O0015407,C999999,2025-11-17,R008,E00408,Organic Search,Completed,1164.0
15740,Invalid Foreign Key: Customer_ID,O0015739,C015740,2025-10-15,R020,E00240,Referral,Completed,8181.57
15751,Invalid Foreign Key: Sales_Employee_ID,O0015750,C015751,2025-10-26,R011,E00251,Instagram,Completed,2080.59
15952,Invalid Foreign Key: Customer_ID,O0015951,C015952,2026-05-15,R012,E00452,Instagram,Returned,4225.38
15994,Invalid Foreign Key: Sales_Employee_ID,O0015993,C015994,2026-06-26,R014,E99999,Google Ads,Completed,15041.0
16251,Invalid Foreign Key: Sales_Employee_ID,O0016250,C016251,2026-03-10,R011,E00251,Google Ads,Returned,2066.34
16527,Invalid Foreign Key: Customer_ID,O0016526,C016527,2025-12-11,R007,E00027,Referral,Completed,2240.66
16656,Future Date: Order_Date,O0016655,C016656,2027-02-01,R016,E00156,Google Ads,Completed,2285.2
16751,Invalid Foreign Key: Sales_Employee_ID,O0016750,C016751,2026-07-23,R011,E00251,Instagram,Completed,2052.09
16949,Invalid Foreign Key: Customer_ID,O0016948,C016949,2026-02-06,R009,E00449,Organic Search,Cancelled,7925.18
17251,Invalid Foreign Key: Sales_Employee_ID,O0017250,C017251,2025-12-05,R011,E00251,Referral,Completed,2087.71
17314,Invalid Foreign Key: Customer_ID,O0017313,C017314,2026-02-06,R014,E00314,Google Ads,Completed,2505.25
17609,Invalid Foreign Key: Customer_ID,O0017608,C999999,2025-11-28,R009,E00109,Google Ads,Completed,1697.75
17751,Invalid Foreign Key: Sales_Employee_ID,O0017750,C017751,2026-04-19,R011,E00251,Referral,Completed,2073.46
17771,Invalid Foreign Key: Sales_Employee_ID,O0017770,C017771,2026-05-09,R011,E99999,Referral,Completed,2887.48
17946,Invalid Foreign Key: Customer_ID,O0017945,C017946,2025-10-31,R006,E00446,Instagram,Completed,1896.68
18101,Invalid Foreign Key: Customer_ID,O0018100,C018101,2026-04-04,R001,E00101,Instagram,Completed,112.08
18251,Invalid Foreign Key: Sales_Employee_ID,O0018250,C018251,2025-09-01,R011,E00251,Organic Search,Completed,2059.21
18751,Invalid Foreign Key: Sales_Employee_ID,O0018750,C018751,2026-01-14,R011,E00251,Instagram,Completed,2094.84
18888,Invalid Foreign Key: Customer_ID,O0018887,C018888,2026-05-31,R008,E00388,Referral,Completed,10501.97
18943,Invalid Foreign Key: Customer_ID,O0018942,C018943,2026-07-25,R003,E00443,Instagram,Completed,5297.06
19251,Invalid Foreign Key: Sales_Employee_ID,O0019250,C019251,2026-05-29,R011,E00251,Google Ads,Completed,2080.59
19548,Invalid Foreign Key: Sales_Employee_ID,O0019547,C019548,2026-03-22,R008,E99999,Organic Search,Completed,5847.17
19675,Invalid Foreign Key: Customer_ID,O0019674,C019675,2026-07-27,R015,E00175,Organic Search,Completed,15230.03
19751,Invalid Foreign Key: Sales_Employee_ID,O0019750,C019751,2025-10-11,R011,E00251,Instagram,Completed,2066.34
19810,Invalid Foreign Key: Customer_ID,O0019809,C999999,2025-12-09,R010,E00310,Organic Search,Completed,2301.66
19940,Invalid Foreign Key: Customer_ID,O0019939,C019940,2026-04-18,R020,E00440,Referral,Completed,8181.57
19987,Future Date: Order_Date,O0019986,C019987,2027-02-01,R007,E00487,Referral,Completed,6923.4
20015,Duplicate Primary Key,O0020013,C000015,2026-07-02,R015,E00015,Instagram,Completed,3283.61
20251,Invalid Foreign Key: Sales_Employee_ID,O0020250,C000251,2026-02-23,R011,E00251,Referral,Completed,2052.09
20751,Invalid Foreign Key: Sales_Employee_ID,O0020750,C000751,2026-07-08,R011,E00251,Email,Completed,2087.71
20787,Invalid Foreign Key: Customer_ID,O0020786,C000787,2026-08-13,R007,E00287,Email,Cancelled,6947.36
20997,Invalid Foreign Key: Customer_ID,O0020996,C000997,2026-03-11,R017,E00497,Instagram,Completed,7729.21
21251,Invalid Foreign Key: Sales_Employee_ID,O0021250,C001251,2025-11-20,R011,E00251,Instagram,Completed,2073.46
21325,Invalid Foreign Key: Sales_Employee_ID,O0021324,C001325,2026-02-02,R005,E99999,Google Ads,Completed,5303.92
21574,Invalid Foreign Key: Customer_ID,O0021573,C001574,2025-10-09,R014,E00074,Instagram,Completed,11780.08
21751,Invalid Foreign Key: Sales_Employee_ID,O0021750,C001751,2026-04-04,R011,E00251,Google Ads,Completed,2059.21
21994,Invalid Foreign Key: Customer_ID,O0021993,C001994,2025-12-03,R014,E00494,Email,Completed,14885.94
22011,Invalid Foreign Key: Customer_ID,O0022010,C999999,2025-12-20,R011,E00011,Email,Completed,507.82
22251,Invalid Foreign Key: Sales_Employee_ID,O0022250,C002251,2026-08-17,R011,E00251,Email,Completed,2094.84
22361,Invalid Foreign Key: Customer_ID,O0022360,C002361,2025-12-05,R001,E00361,Google Ads,Returned,2482.68
22751,Invalid Foreign Key: Sales_Employee_ID,O0022750,C002751,2025-12-30,R011,E00251,Referral,Returned,2080.59
22991,Invalid Foreign Key: Customer_ID,O0022990,C002991,2026-08-27,R011,E00491,Organic Search,Cancelled,3667.6
23102,Invalid Foreign Key: Sales_Employee_ID,O0023101,C003102,2025-12-16,R002,E99999,Organic Search,Returned,300.53
23148,Invalid Foreign Key: Customer_ID,O0023147,C003148,2026-01-31,R008,E00148,Google Ads,Completed,5867.34
23251,Invalid Foreign Key: Sales_Employee_ID,O0023250,C003251,2026-05-14,R011,E00251,Referral,Completed,2066.34
23318,Future Date: Order_Date,O0023317,C003318,2027-02-01,R018,E00318,Email,Completed,2344.88
23751,Invalid Foreign Key: Sales_Employee_ID,O0023750,C003751,2025-09-26,R011,E00251,Organic Search,Cancelled,2052.09
23935,Invalid Foreign Key: Customer_ID,O0023934,C003935,2026-03-29,R015,E00435,Google Ads,Completed,7179.41
23988,Invalid Foreign Key: Customer_ID,O0023987,C003988,2026-05-21,R008,E00488,Email,Completed,10574.65
24212,Invalid Foreign Key: Customer_ID,O0024211,C999999,2025-12-31,R012,E00212,Email,Completed,1087.17
24251,Invalid Foreign Key: Sales_Employee_ID,O0024250,C004251,2026-02-08,R011,E00251,Referral,Completed,2087.71
24722,Invalid Foreign Key: Customer_ID,O0024721,C004722,2026-05-25,R002,E00222,Google Ads,Completed,1891.02
24751,Invalid Foreign Key: Sales_Employee_ID,O0024750,C004751,2026-06-23,R011,E00251,Google Ads,Completed,2073.46
24879,Invalid Foreign Key: Sales_Employee_ID,O0024878,C004879,2025-10-29,R019,E99999,Referral,Completed,12730.94
24985,Invalid Foreign Key: Customer_ID,O0024984,C004985,2026-02-12,R005,E00485,Referral,Completed,16918.92
25251,Invalid Foreign Key: Sales_Employee_ID,O0025250,C005251,2025-11-05,R011,E00251,Organic Search,Completed,2059.21
25509,Invalid Foreign Key: Customer_ID,O0025508,C005509,2026-07-21,R009,E00009,Email,Completed,1709.45
25751,Invalid Foreign Key: Sales_Employee_ID,O0025750,C005751,2026-03-20,R011,E00251,Instagram,Completed,2094.84
25982,Invalid Foreign Key: Customer_ID,O0025981,C005982,2025-11-06,R002,E00482,Instagram,Completed,6646.86
26251,Invalid Foreign Key: Sales_Employee_ID,O0026250,C006251,2026-08-02,R011,E00251,Organic Search,Completed,2080.59
26296,Invalid Foreign Key: Customer_ID,O0026295,C006296,2025-09-16,R016,E00296,Referral,Completed,3825.51
26413,Invalid Foreign Key: Customer_ID,O0026412,C999999,2026-01-11,R013,E00413,Instagram,Completed,1736.42
26649,Future Date: Order_Date,O0026648,C006649,2027-02-01,R009,E00149,Organic Search,Completed,7897.76
26656,Invalid Foreign Key: Sales_Employee_ID,O0026655,C006656,2025-09-11,R016,E99999,Email,Completed,2246.2
