Source_Row,Reject_Reasons,Payment_ID,Invoice_ID,Customer_ID,Payment_Date,Payment_Method,Payment_Amount,Payment_Fee,Payment_Status
251,Invalid Foreign Key: Invoice_ID,PAY0000250,INV0000250,C000251,2026-05-29,Bank Transfer,9350.0,168.3,Successful
751,Invalid Foreign Key: Invoice_ID,PAY0000750,INV0000750,C000751,2025-10-11,Card,21050.0,378.9,Successful
787,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0000786,INV0000786,C000787,2025-11-16,Card,25262.0,454.72,Successful
997,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0000996,INV0000996,C000997,2026-06-14,Card,26432.0,475.78,Successful
1251,Invalid Foreign Key: Invoice_ID,PAY0001250,INV0001250,C001251,2026-02-23,Wallet,9350.0,168.3,Successful
1574,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0001573,INV0001573,C001574,2026-01-12,Bank Transfer,23741.0,427.34,Successful
1751,Invalid Foreign Key: Invoice_ID,PAY0001750,INV0001750,C001751,2026-07-08,Bank Transfer,21050.0,378.9,Successful
1778,Invalid Foreign Key: Invoice_ID,PAY0001777,INV0001777,C001778,2026-08-04,UPI,24209.0,435.76,Successful
1994,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0001993,INV0001993,C001994,2026-03-08,Card,26081.0,469.46,Successful
2202,Invalid Foreign Key: Invoice_ID,PAY0002201,INV0002201,C002202,2025-10-02,Wallet,3617.0,65.11,Successful
2251,Invalid Foreign Key: Invoice_ID,PAY0002250,INV0002250,C002251,2025-11-20,Bank Transfer,9350.0,168.3,Successful
2361,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0002360,INV0002360,C002361,2026-03-10,Card,22220.0,399.96,Successful
2751,Invalid Foreign Key: Invoice_ID,PAY0002750,INV0002750,C002751,2026-04-04,Wallet,21050.0,378.9,Successful
2991,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0002990,INV0002990,C002991,2025-11-30,UPI,25730.0,463.14,Successful
3148,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0003147,INV0003147,C003148,2026-05-06,Card,20699.0,372.58,Successful
3251,Invalid Foreign Key: Invoice_ID,PAY0003250,INV0003250,C003251,2026-08-17,Card,9350.0,168.3,Successful
3332,Invalid Foreign Key: Invoice_ID,PAY0003331,INV0003331,C003332,2025-11-06,Card,18827.0,338.89,Successful
3555,Invalid Foreign Key: Invoice_ID,PAY0003554,INV0003554,C003555,2026-06-17,Card,21518.0,387.32,Successful
3751,Invalid Foreign Key: Invoice_ID,PAY0003750,INV0003750,C003751,2025-12-30,UPI,21050.0,378.9,Successful
3935,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0003934,INV0003934,C003935,2026-07-02,Bank Transfer,19178.0,345.2,Successful
3988,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0003987,INV0003987,C003988,2026-08-24,UPI,25379.0,456.82,Successful
4251,Invalid Foreign Key: Invoice_ID,PAY0004250,INV0004250,C004251,2026-05-14,Wallet,9350.0,168.3,Failed
4403,Invalid Foreign Key: Invoice_ID,PAY0004402,INV0004402,C004403,2025-10-13,UPI,3734.0,67.21,Successful
4722,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0004721,INV0004721,C004722,2026-08-28,Wallet,17657.0,317.83,Successful
4751,Invalid Foreign Key: Invoice_ID,PAY0004750,INV0004750,C004751,2025-09-26,Bank Transfer,21050.0,378.9,Successful
4985,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0004984,INV0004984,C004985,2026-05-18,Card,25028.0,450.5,Successful
5004,Future Date: Payment_Date,PAY0005003,INV0005003,C005004,2027-06-01,Card,3851.0,69.32,Successful
5251,Invalid Foreign Key: Invoice_ID,PAY0005250,INV0005250,C005251,2026-02-08,UPI,9350.0,168.3,Successful
5332,Invalid Foreign Key: Invoice_ID,PAY0005331,INV0005331,C005332,2026-04-30,UPI,18827.0,338.89,Successful
5509,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0005508,INV0005508,C005509,2025-10-24,Card,16136.0,290.45,Failed
5751,Invalid Foreign Key: Invoice_ID,PAY0005750,INV0005750,C005751,2026-06-23,Card,21050.0,378.9,Successful
5982,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0005981,INV0005981,C005982,2026-02-09,Card,24677.0,444.19,Successful
6251,Invalid Foreign Key: Invoice_ID,PAY0006250,INV0006250,C006251,2025-11-05,Card,9350.0,168.3,Successful
6296,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0006295,INV0006295,C006296,2025-12-20,UPI,14615.0,263.07,Successful
6604,Invalid Foreign Key: Invoice_ID,PAY0006603,INV0006603,C006604,2025-10-24,Card,3851.0,69.32,Successful
6663,Invalid Foreign Key: Invoice_ID,PAY0006662,INV0006662,C006663,2025-12-22,Card,10754.0,193.57,Successful
6751,Invalid Foreign Key: Invoice_ID,PAY0006750,INV0006750,C006751,2026-03-20,Card,21050.0,378.9,Successful
6979,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0006978,INV0006978,C006979,2025-11-03,Bank Transfer,24326.0,437.87,Successful
7002,Invalid Foreign Key: Invoice_ID,PAY0007001,INV9999999,C007002,2025-11-26,Bank Transfer,3617.0,65.11,Successful
7083,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0007082,INV0007082,C007083,2026-02-15,UPI,13094.0,235.69,Successful
7109,Invalid Foreign Key: Invoice_ID,PAY0007108,INV0007108,C007109,2026-03-13,UPI,16136.0,290.45,Successful
7251,Invalid Foreign Key: Invoice_ID,PAY0007250,INV0007250,C007251,2026-08-02,UPI,9350.0,168.3,Successful
7751,Invalid Foreign Key: Invoice_ID,PAY0007750,INV0007750,C007751,2025-12-15,Wallet,21050.0,378.9,Successful
7870,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0007869,INV0007869,C007870,2026-04-13,Card,11573.0,208.31,Successful
7976,Invalid Foreign Key: Invoice_ID; Invalid Foreign Key: Customer_ID,PAY0007975,INV0007975,C007976,2026-07-28,Card,23975.0,431.55,Successful
