Source_Row,Reject_Reasons,Purchase_ID,Supplier_ID,Product_ID,Warehouse_ID,Purchase_Date,Quantity,Unit_Cost,Expected_Date,Delivery_Date,Rejected_Quantity
307,Invalid Foreign Key: Product_ID,PU0000306,S00107,P00307,W007,2026-07-04,356,1017.6,2026-07-24,2026-08-13,0
343,Future Date: Delivery_Date,PU0000342,S00143,P00343,W003,2026-08-09,392,5215.2,2026-08-29,2026-09-18,0
352,Future Date: Delivery_Date,PU0000351,S00152,P00352,W012,2026-08-18,401,6087.3,2026-09-07,2026-09-27,0
358,Future Date: Delivery_Date,PU0000357,S00158,P00358,W018,2026-08-24,407,7161.3,2026-09-13,2026-09-16,0
359,Future Date: Delivery_Date,PU0000358,S00159,P00359,W019,2026-08-25,408,7348.000000000001,2026-09-14,2026-09-18,0
360,Future Date: Delivery_Date,PU0000359,S00160,P00360,W020,2026-08-26,409,7536.900000000001,2026-09-15,2026-09-20,0
361,Future Date: Delivery_Date,PU0000360,S00161,P00361,W001,2026-08-27,410,6900.0,2026-09-16,2026-10-06,33
362,Future Date: Delivery_Date,PU0000361,S00162,P00362,W002,2026-08-28,411,7080.1,2026-09-17,2026-09-18,0
363,Future Date: Delivery_Date,PU0000362,S00163,P00363,W003,2026-08-29,412,7262.400000000001,2026-09-18,2026-09-20,0
364,Future Date: Delivery_Date,PU0000363,S00164,P00364,W004,2026-08-30,413,7446.900000000001,2026-09-19,2026-09-22,0
365,Future Date: Delivery_Date,PU0000364,S00165,P00365,W005,2026-08-31,414,7633.6,2026-09-20,2026-09-24,0
421,Invalid Foreign Key: Product_ID,PU0000420,S00021,P00421,W001,2025-10-26,470,2500.0,2025-11-15,2025-11-15,38
499,Invalid Foreign Key: Product_ID,PU0000498,S00099,P00499,W019,2026-01-12,98,11744.8,2026-02-01,2026-02-01,0
577,Invalid Foreign Key: Product_ID,PU0000576,S00177,P00577,W017,2026-03-31,176,8660.0,2026-04-20,2026-05-10,0
614,Invalid Foreign Key: Product_ID,PU0000613,S00014,P00614,W014,2026-05-07,213,1747.3,2026-05-27,2026-05-28,0
712,Future Date: Delivery_Date,PU0000711,S00112,P00712,W012,2026-08-13,311,1555.3,2026-09-02,2026-09-22,0
721,Future Date: Delivery_Date,PU0000720,S00121,P00721,W001,2026-08-22,320,2500.0,2026-09-11,2026-10-01,26
724,Future Date: Delivery_Date,PU0000723,S00124,P00724,W004,2026-08-25,323,2914.9,2026-09-14,2026-09-17,0
725,Future Date: Delivery_Date,PU0000724,S00125,P00725,W005,2026-08-26,324,3057.6,2026-09-15,2026-09-19,0
726,Future Date: Delivery_Date,PU0000725,S00126,P00726,W006,2026-08-27,325,3202.5,2026-09-16,2026-09-21,0
727,Future Date: Delivery_Date,PU0000726,S00127,P00727,W007,2026-08-28,326,3349.6000000000004,2026-09-17,2026-09-17,0
728,Future Date: Delivery_Date,PU0000727,S00128,P00728,W008,2026-08-29,327,3498.9,2026-09-18,2026-09-19,0
729,Future Date: Delivery_Date,PU0000728,S00129,P00729,W009,2026-08-30,328,3650.4,2026-09-19,2026-09-21,0
730,Future Date: Delivery_Date,PU0000729,S00130,P00730,W010,2026-08-31,329,3804.1,2026-09-20,2026-10-10,0
842,Invalid Foreign Key: Product_ID,PU0000841,S00042,P00842,W002,2025-12-21,441,4858.1,2026-01-10,2026-01-11,0
921,Invalid Foreign Key: Product_ID,PU0000920,S00121,P00921,W001,2026-03-10,70,2700.0,2026-03-30,2026-04-01,6
998,Invalid Foreign Key: Product_ID,PU0000997,S00198,P00998,W018,2026-05-26,147,11079.7,2026-06-15,2026-06-16,0
1072,Future Date: Delivery_Date,PU0001071,S00072,P00072,W012,2026-08-08,221,8353.300000000001,2026-08-28,2026-09-17,0
1081,Future Date: Delivery_Date,PU0001080,S00081,P00081,W001,2026-08-17,230,9100.0,2026-09-06,2026-09-26,19
1086,Future Date: Delivery_Date,PU0001085,S00086,P00086,W006,2026-08-22,235,10132.5,2026-09-11,2026-09-16,0
1089,Future Date: Delivery_Date,PU0001088,S00089,P00089,W009,2026-08-25,238,10778.4,2026-09-14,2026-09-16,0
1090,Future Date: Delivery_Date,PU0001089,S00090,P00090,W010,2026-08-26,239,10998.1,2026-09-15,2026-10-05,0
1091,Future Date: Delivery_Date,PU0001090,S00091,P00091,W011,2026-08-27,240,11220.0,2026-09-16,2026-09-20,20
1092,Future Date: Delivery_Date,PU0001091,S00092,P00092,W012,2026-08-28,241,11444.1,2026-09-17,2026-09-22,0
1093,Future Date: Delivery_Date,PU0001092,S00093,P00093,W013,2026-08-29,242,10420.0,2026-09-18,2026-09-18,0
1094,Future Date: Delivery_Date,PU0001093,S00094,P00094,W014,2026-08-30,243,10635.3,2026-09-19,2026-09-20,0
1095,Future Date: Delivery_Date,PU0001094,S00095,P00095,W015,2026-08-31,244,10852.8,2026-09-20,2026-09-22,0
1307,Invalid Foreign Key: Product_ID,PU0001306,S00107,P00307,W007,2026-03-31,456,1056.0,2026-04-20,2026-04-24,0
1421,Invalid Foreign Key: Product_ID,PU0001420,S00021,P00421,W001,2026-07-23,120,2600.0,2026-08-12,2026-08-16,10
1441,Future Date: Delivery_Date,PU0001440,S00041,P00441,W001,2026-08-12,140,4700.0,2026-09-01,2026-09-21,12
1450,Future Date: Delivery_Date,PU0001449,S00050,P00450,W010,2026-08-21,149,6202.1,2026-09-10,2026-09-30,0
1452,Future Date: Delivery_Date,PU0001451,S00052,P00452,W012,2026-08-23,151,6560.1,2026-09-12,2026-09-17,0
1455,Future Date: Delivery_Date,PU0001454,S00055,P00455,W015,2026-08-26,154,6364.8,2026-09-15,2026-09-17,0
1456,Future Date: Delivery_Date,PU0001455,S00056,P00456,W016,2026-08-27,155,6540.5,2026-09-16,2026-09-19,0
1457,Future Date: Delivery_Date,PU0001456,S00057,P00457,W017,2026-08-28,156,6718.400000000001,2026-09-17,2026-09-21,0
1458,Future Date: Delivery_Date,PU0001457,S00058,P00458,W018,2026-08-29,157,6898.5,2026-09-18,2026-09-23,0
1459,Future Date: Delivery_Date,PU0001458,S00059,P00459,W019,2026-08-30,158,7080.8,2026-09-19,2026-10-09,0
1460,Future Date: Delivery_Date,PU0001459,S00060,P00460,W020,2026-08-31,159,7265.3,2026-09-20,2026-09-21,0
1499,Invalid Foreign Key: Product_ID,PU0001498,S00099,P00499,W019,2025-10-09,198,12188.000000000002,2025-10-29,2025-11-02,0
1577,Invalid Foreign Key: Product_ID,PU0001576,S00177,P00577,W017,2025-12-26,276,9006.4,2026-01-15,2026-01-19,0
1614,Invalid Foreign Key: Product_ID,PU0001613,S00014,P00614,W014,2026-02-01,313,1816.5,2026-02-21,2026-02-26,0
1801,Future Date: Delivery_Date,PU0001800,S00001,P00801,W001,2026-08-07,50,300.0,2026-08-27,2026-09-16,4
1810,Future Date: Delivery_Date,PU0001809,S00010,P00810,W010,2026-08-16,59,1406.1,2026-09-05,2026-09-25,0
1817,Future Date: Delivery_Date,PU0001816,S00017,P00817,W017,2026-08-23,66,2142.4,2026-09-12,2026-09-16,0
1818,Future Date: Delivery_Date,PU0001817,S00018,P00818,W018,2026-08-24,67,2278.5,2026-09-13,2026-09-18,0
1819,Future Date: Delivery_Date,PU0001818,S00019,P00819,W019,2026-08-25,68,2416.8,2026-09-14,2026-10-04,0
1820,Future Date: Delivery_Date,PU0001819,S00020,P00820,W020,2026-08-26,69,2557.3,2026-09-15,2026-09-16,0
1821,Future Date: Delivery_Date,PU0001820,S00021,P00821,W001,2026-08-27,70,2700.0,2026-09-16,2026-09-18,6
1822,Future Date: Delivery_Date,PU0001821,S00022,P00822,W002,2026-08-28,71,2844.9,2026-09-17,2026-09-20,0
1823,Future Date: Delivery_Date,PU0001822,S00023,P00823,W003,2026-08-29,72,2992.0000000000005,2026-09-18,2026-09-22,0
1824,Future Date: Delivery_Date,PU0001823,S00024,P00824,W004,2026-08-30,73,3141.3,2026-09-19,2026-09-24,0
1825,Future Date: Delivery_Date,PU0001824,S00025,P00825,W005,2026-08-31,74,2940.0,2026-09-20,2026-09-20,0
1842,Invalid Foreign Key: Product_ID,PU0001841,S00042,P00842,W002,2025-09-17,91,5050.5,2025-10-07,2025-10-12,0
1921,Invalid Foreign Key: Product_ID,PU0001920,S00121,P00921,W001,2025-12-05,170,2500.0,2025-12-25,2025-12-25,14
1998,Invalid Foreign Key: Product_ID,PU0001997,S00198,P00998,W018,2026-02-20,247,11518.5,2026-03-12,2026-03-17,0
2170,Future Date: Delivery_Date,PU0002169,S00170,P00170,W010,2026-08-11,419,8600.1,2026-08-31,2026-09-20,0
2179,Future Date: Delivery_Date,PU0002178,S00179,P00179,W019,2026-08-20,428,9412.8,2026-09-09,2026-09-29,0
2183,Future Date: Delivery_Date,PU0002182,S00183,P00183,W003,2026-08-24,432,10252.0,2026-09-13,2026-09-17,0
2184,Future Date: Delivery_Date,PU0002183,S00184,P00184,W004,2026-08-25,433,10467.3,2026-09-14,2026-09-19,0
2186,Future Date: Delivery_Date,PU0002185,S00186,P00186,W006,2026-08-27,435,9746.5,2026-09-16,2026-09-17,0
2187,Future Date: Delivery_Date,PU0002186,S00187,P00187,W007,2026-08-28,436,9955.2,2026-09-17,2026-09-19,0
2188,Future Date: Delivery_Date,PU0002187,S00188,P00188,W008,2026-08-29,437,10166.1,2026-09-18,2026-10-08,0
2189,Future Date: Delivery_Date,PU0002188,S00189,P00189,W009,2026-08-30,438,10379.2,2026-09-19,2026-09-23,0
2190,Future Date: Delivery_Date,PU0002189,S00190,P00190,W010,2026-08-31,439,10594.5,2026-09-20,2026-09-25,0
2307,Invalid Foreign Key: Product_ID,PU0002306,S00107,P00307,W007,2025-12-26,106,979.2,2026-01-15,2026-01-17,0
2421,Invalid Foreign Key: Product_ID,PU0002420,S00021,P00421,W001,2026-04-19,220,2700.0,2026-05-09,2026-05-11,18
2499,Invalid Foreign Key: Product_ID,PU0002498,S00099,P00499,W019,2026-07-06,298,11301.6,2026-07-26,2026-07-28,0
2539,Future Date: Delivery_Date,PU0002538,S00139,P00539,W019,2026-08-15,338,4748.8,2026-09-04,2026-09-24,0
2548,Future Date: Delivery_Date,PU0002547,S00148,P00548,W008,2026-08-24,347,5634.1,2026-09-13,2026-10-03,0
2549,Future Date: Delivery_Date,PU0002548,S00149,P00549,W009,2026-08-25,348,5803.2,2026-09-14,2026-09-18,0
2550,Future Date: Delivery_Date,PU0002549,S00150,P00550,W010,2026-08-26,349,5974.5,2026-09-15,2026-09-20,0
