Source_Row,Reject_Reasons,Return_ID,Order_ID,Order_Item_ID,Customer_ID,Product_ID,Return_Date,Return_Quantity,Refund_Amount,Reason,Status
125,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0000124,O0001613,OI00001613,C001614,P00614,2026-06-05,1,201.42665347257773,Damaged,Rejected
174,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0000173,O0002250,OI00002250,C002251,P00251,2026-04-22,1,671.4221782419257,Wrong item,Rejected
243,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0000242,O0003147,OI00003147,C003148,P00148,2025-12-14,1,633.314432990357,Quality issue,Refunded
264,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0000263,O0003420,OI00003420,C003421,P00421,2025-10-04,1,290.3447257262381,Wrong item,Refunded
270,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0000269,O0003498,OI00003498,C003499,P00499,2025-12-27,1,1281.1461022670258,Late delivery,Refunded
276,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0000275,O0003576,OI00003576,C003577,P00577,2026-03-21,1,1001.6893037555216,Late delivery,Refunded
411,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0000410,O0005331,OI00005331,C005332,P00332,2026-05-25,1,430.0731249819903,Late delivery,Rejected
461,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0000460,O0005981,OI00005981,C005982,P00982,2026-04-25,1,1065.2022125081362,Quality issue,Refunded
486,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0000485,O0006306,OI00006306,C006307,P00307,2026-04-10,1,112.50858121891729,Quality issue,Refunded
674,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0000673,O0008750,OI00008750,C008751,P00751,2026-06-26,1,671.4221782419257,Quality issue,Rejected
681,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0000680,O0008841,OI00008841,C008842,P00842,2025-10-02,1,557.0989424872195,Changed mind,Refunded
693,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0000692,O0008997,OI00008997,C008998,P00998,2026-03-19,1,1268.443520516503,Changed mind,Rejected
764,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0000763,O0009920,OI00009920,C009921,P00921,2025-12-08,1,290.3447257262381,Changed mind,Pending
1030,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0001029,O0013378,OI00013378,C013379,P00379,2026-02-20,1,1027.0944672565674,Changed mind,Rejected
1078,Invalid Foreign Key: Order_Item_ID,RT0001077,O0014002,OI00014002,C014003,P00003,2025-12-24,1,61.69825421682561,Quality issue,Rejected
1125,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0001124,O0014613,OI00014613,C014614,P00614,2025-10-13,1,201.42665347257773,Damaged,Refunded
1174,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0001173,O0015250,OI00015250,C015251,P00251,2026-08-30,1,671.4221782419257,Wrong item,Rejected
1232,Invalid Foreign Key: Order_Item_ID,RT0001231,O0016004,OI00016004,C016005,P00005,2025-11-20,1,87.10341771787145,Quality issue,Refunded
1264,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0001263,O0016420,OI00016420,C016421,P00421,2026-02-11,1,290.3447257262381,Damaged,Refunded
1270,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0001269,O0016498,OI00016498,C016499,P00499,2026-05-06,1,1281.1461022670258,Damaged,Rejected
1276,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0001275,O0016576,OI00016576,C016577,P00577,2026-07-29,1,1001.6893037555216,Late delivery,Rejected
1458,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0001457,O0018942,OI00018942,C018943,P00943,2026-07-22,1,569.8015242377423,Changed mind,Rejected
1486,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0001485,O0019306,OI00019306,C019307,P00307,2026-08-18,1,112.50858121891729,Quality issue,Rejected
1616,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,RT0001615,O0020996,OI00020996,C000997,P00997,2026-08-13,1,1255.74093876598,Damaged,Rejected
1674,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0001673,O0021750,OI00021750,C001751,P00751,2025-11-03,1,671.4221782419257,Damaged,Rejected
1681,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0001680,O0021841,OI00021841,C001842,P00842,2026-02-09,1,557.0989424872195,Late delivery,Refunded
1693,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,RT0001692,O0021997,OI00021997,C001998,P00998,2026-07-27,1,1268.443520516503,Damaged,Rejected
1694,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID,RT0001693,O0022010,OI00022010,C002011,P00011,2026-08-10,1,163.31890822100897,Changed mind,Rejected
