Source_Row,Reject_Reasons,Sale_ID,Order_ID,Order_Item_ID,Sale_Date,Customer_ID,Product_ID,Employee_ID,Region_ID,Quantity,Gross_Sales,Discount,Net_Sales,Product_Cost,Shipping_Cost,Payment_Fee
251,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00000250,O0000250,OI00000250,2026-05-09,C000251,P00251,E00251,R011,1,671.42,33.57,637.85,421.0,35.0,11.48
307,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00000306,O0000306,OI00000306,2026-07-04,C000307,P00307,E00307,R007,2,225.02,11.25,213.77,139.37,91.0,3.85
421,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00000420,O0000420,OI00000420,2025-10-26,C000421,P00421,E00421,R001,1,290.34,0.0,290.34,181.47,45.0,5.23
499,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00000498,O0000498,OI00000498,2026-01-12,C000499,P00499,E00499,R019,4,5124.58,51.25,5073.34,3217.02,43.0,91.32
577,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00000576,O0000576,OI00000576,2026-03-31,C000577,P00577,E00077,R017,2,2003.38,40.07,1963.31,1257.19,41.0,35.34
614,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00000613,O0000613,OI00000613,2026-05-07,C000614,P00614,E00114,R014,4,805.71,32.23,773.48,502.3,78.0,13.92
751,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Employee_ID,SA00000750,O0000750,OI00000750,2025-09-21,C000751,P00751,E00251,R011,1,671.42,6.71,664.71,421.0,55.0,11.96
787,Invalid Foreign Key: Order_ID; Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Customer_ID,SA00000786,O0000786,OI00000786,2025-10-27,C000787,P00787,E00287,R007,2,2257.43,45.15,2212.28,1416.88,91.0,39.82
842,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00000841,O0000841,OI00000841,2025-12-21,C000842,P00842,E00342,R002,2,1114.2,11.14,1103.06,698.28,66.0,19.86
921,Invalid Foreign Key: Order_Item_ID; Invalid Foreign Key: Product_ID,SA00000920,O0000920,OI00000920,2026-03-10,C000921,P00921,E00421,R001,1,290.34,8.71,281.63,181.47,65.0,5.07
