Source_Row,Reject_Reasons,Event_ID,Customer_ID,Session_ID,Event_Time,Channel,Event_Type,Page,Experiment_Group,Converted,Order_ID
787,Invalid Foreign Key: Customer_ID,EV00000786,C000787,SES00000197,2025-10-27 18:06:00,Instagram,Product View,/home,Treatment,0,
997,Invalid Foreign Key: Customer_ID,EV00000996,C000997,SES00000250,2026-05-25 12:36:00,Instagram,Checkout,/product,Treatment,0,
1574,Invalid Foreign Key: Customer_ID,EV00001573,C001574,SES00000394,2025-12-23 13:13:00,Referral,Checkout,/home,Control,0,
1994,Invalid Foreign Key: Customer_ID,EV00001993,C001994,SES00000499,2026-02-16 01:13:00,Referral,Add to Cart,/home,Control,0,
2361,Invalid Foreign Key: Customer_ID,EV00002360,C002361,SES00000591,2026-02-18 08:20:00,Google Ads,Page View,/product,Treatment,0,
2991,Invalid Foreign Key: Customer_ID,EV00002990,C002991,SES00000748,2025-11-10 14:50:00,Google Ads,Purchase,/cart,Treatment,1,O0002991
3148,Invalid Foreign Key: Customer_ID,EV00003147,C003148,SES00000787,2026-04-16 03:27:00,Email,Product View,/home,Control,0,
3750,Invalid Foreign Key: Order_ID,EV00003749,C003750,SES00000938,2025-12-09 05:29:00,Organic Search,Purchase,/product,Control,1,O0003750
3934,Invalid Foreign Key: Order_ID,EV00003933,C003934,SES00000984,2026-06-11 21:33:00,Referral,Purchase,/cart,Control,1,O0003934
3935,Invalid Foreign Key: Customer_ID,EV00003934,C003935,SES00000984,2026-06-12 22:34:00,Organic Search,Page View,/cart,Treatment,0,
3988,Invalid Foreign Key: Customer_ID,EV00003987,C003988,SES00000997,2026-08-04 03:27:00,Email,Page View,/product,Control,0,
4722,Invalid Foreign Key: Customer_ID,EV00004721,C004722,SES00001181,2026-08-08 17:41:00,Instagram,Checkout,/product,Control,0,
4985,Invalid Foreign Key: Customer_ID,EV00004984,C004985,SES00001247,2026-04-28 16:04:00,Organic Search,Checkout,/home,Treatment,0,
5981,Invalid Foreign Key: Order_ID,EV00005980,C005981,SES00001496,2026-01-19 04:40:00,Google Ads,Purchase,/cart,Treatment,1,O0005981
5982,Invalid Foreign Key: Customer_ID,EV00005981,C005982,SES00001496,2026-01-20 05:41:00,Instagram,Add to Cart,/cart,Control,0,
6296,Invalid Foreign Key: Customer_ID,EV00006295,C006296,SES00001574,2025-11-30 07:55:00,Google Ads,Page View,/checkout,Control,0,
6979,Invalid Foreign Key: Customer_ID,EV00006978,C006979,SES00001745,2025-10-14 18:18:00,Referral,Add to Cart,/checkout,Treatment,0,
7083,Invalid Foreign Key: Customer_ID,EV00007082,C007083,SES00001771,2026-01-26 02:02:00,Email,Checkout,/checkout,Treatment,0,
7108,Invalid Foreign Key: Order_ID,EV00007107,C007108,SES00001777,2026-02-20 03:27:00,Email,Purchase,/cart,Control,1,O0007108
7870,Invalid Foreign Key: Customer_ID,EV00007869,C007870,SES00001968,2026-03-24 21:09:00,Organic Search,Add to Cart,/product,Control,0,
7976,Invalid Foreign Key: Customer_ID,EV00007975,C007976,SES00001994,2026-07-08 07:55:00,Google Ads,Add to Cart,/product,Control,0,
8657,Invalid Foreign Key: Customer_ID,EV00008656,C008657,SES00002165,2026-05-20 16:16:00,Instagram,Checkout,/cart,Treatment,0,
8973,Invalid Foreign Key: Customer_ID,EV00008972,C008973,SES00002244,2026-04-01 20:32:00,Email,Page View,/home,Treatment,0,
9444,Invalid Foreign Key: Customer_ID,EV00009443,C009444,SES00002361,2026-07-16 11:23:00,Referral,Product View,/cart,Control,0,
9970,Invalid Foreign Key: Customer_ID,EV00009969,C009970,SES00002493,2025-12-24 09:09:00,Organic Search,Page View,/home,Control,0,
10231,Invalid Foreign Key: Customer_ID,EV00010230,C010231,SES00002558,2025-09-11 06:30:00,Google Ads,Page View,/checkout,Treatment,0,
10967,Invalid Foreign Key: Customer_ID,EV00010966,C010967,SES00002742,2025-09-17 22:46:00,Instagram,Product View,/home,Treatment,0,
11018,Invalid Foreign Key: Customer_ID,EV00011017,C011018,SES00002755,2025-11-07 01:37:00,Email,Purchase,/home,Control,1,O0011018
11805,Invalid Foreign Key: Customer_ID,EV00011804,C011805,SES00002952,2026-01-03 20:44:00,Organic Search,Product View,/checkout,Treatment,0,
11964,Invalid Foreign Key: Customer_ID,EV00011963,C011964,SES00002991,2026-06-11 11:23:00,Referral,Page View,/home,Control,0,
12592,Invalid Foreign Key: Customer_ID,EV00012591,C012592,SES00003148,2026-03-01 15:51:00,Instagram,Page View,/checkout,Control,0,
12961,Invalid Foreign Key: Customer_ID,EV00012960,C012961,SES00003241,2026-03-05 00:00:00,Google Ads,Product View,/cart,Treatment,0,
13379,Invalid Foreign Key: Customer_ID,EV00013378,C013379,SES00003345,2026-04-27 10:58:00,Referral,Add to Cart,/home,Treatment,0,
14166,Invalid Foreign Key: Customer_ID,EV00014165,C014166,SES00003542,2026-06-23 05:05:00,Google Ads,Product View,/product,Control,0,
14953,Invalid Foreign Key: Customer_ID,EV00014952,C014953,SES00003739,2026-08-19 00:12:00,Email,Product View,/checkout,Treatment,0,
14955,Invalid Foreign Key: Customer_ID,EV00014954,C014955,SES00003739,2026-08-21 02:14:00,Organic Search,Page View,/home,Treatment,0,
15250,Invalid Foreign Key: Order_ID,EV00015249,,SES00003813,2026-06-12 09:09:00,Organic Search,Purchase,/product,Control,1,O0015250
15740,Invalid Foreign Key: Customer_ID,EV00015739,C015740,SES00003935,2025-10-15 19:19:00,Organic Search,Page View,/home,Control,0,
15952,Invalid Foreign Key: Customer_ID,EV00015951,C015952,SES00003988,2026-05-15 15:51:00,Instagram,Product View,/product,Control,0,
16527,Invalid Foreign Key: Customer_ID,EV00016526,C016527,SES00004132,2025-12-11 14:26:00,Instagram,Product View,/cart,Treatment,0,
16949,Invalid Foreign Key: Customer_ID,EV00016948,C016949,SES00004238,2026-02-06 04:28:00,Referral,Page View,/checkout,Treatment,0,
17314,Invalid Foreign Key: Customer_ID,EV00017313,C017314,SES00004329,2026-02-06 09:33:00,Referral,Add to Cart,/checkout,Control,0,
17946,Invalid Foreign Key: Customer_ID,EV00017945,C017946,SES00004487,2025-10-31 17:05:00,Google Ads,Add to Cart,/cart,Control,0,
18101,Invalid Foreign Key: Customer_ID,EV00018100,C018101,SES00004526,2026-04-04 04:40:00,Google Ads,Add to Cart,/cart,Treatment,0,
18943,Invalid Foreign Key: Customer_ID,EV00018942,C018943,SES00004736,2026-07-25 06:42:00,Email,Checkout,/home,Treatment,0,
19675,Invalid Foreign Key: Customer_ID,EV00019674,C019675,SES00004919,2026-07-27 18:54:00,Organic Search,Checkout,/home,Treatment,0,
19940,Invalid Foreign Key: Customer_ID,EV00019939,C019940,SES00004985,2026-04-18 19:19:00,Organic Search,Page View,/home,Control,0,
