"Complaint_ID","Customer_ID","Order_ID","Complaint_Date","Category","Severity","Resolution_Date","Resolution_Status","Satisfaction_Score"
"CP0000001","C000002","O0000002","2025-09-02","Delivery","High","2025-09-03","Resolved","2"
"CP0000002","C000003","O0000003","2025-09-03","Payment","Critical","2025-09-05","Resolved","3"
"CP0000003","C000004","O0000004","2025-09-04","Delivery","Medium","2025-09-07","Resolved","4"
"CP0000004","C000005","O0000005","2025-09-05","Delivery","Low","2025-09-09","Resolved","5"
"CP0000005","C000006","O0000006","2025-09-06","Support","Low","2025-09-11","Resolved","1"
"CP0000006","C000007","O0000007","2025-09-07","Refund","High","2025-09-13","Resolved","2"
"CP0000007","C000008","O0000008","2025-09-08","Delivery","Medium","2025-09-15","Resolved","3"
"CP0000008","C000009","O0000009","2025-09-09","Refund","Medium","","Open",""
"CP0000009","C000010","O0000010","2025-09-10","Support","Critical","2025-09-19","Resolved","5"
"CP0000010","C000011","O0000011","2025-09-11","Product","Critical","2025-09-21","Resolved","1"
"CP0000011","C000012","O0000012","2025-09-12","Refund","Low","2025-09-23","Resolved","2"
"CP0000012","C000013","O0000013","2025-09-13","Delivery","High","2025-09-13","Resolved","3"
"CP0000013","C000014","O0000014","2025-09-14","Refund","High","2025-09-15","Resolved","4"
"CP0000014","C000015","O0000015","2025-09-15","Support","Critical","2025-09-17","Resolved","5"
"CP0000015","C000016","O0000016","2025-09-16","Delivery","Medium","2025-09-19","Resolved","1"
"CP0000016","C000017","O0000017","2025-09-17","Payment","Critical","","Open",""
"CP0000017","C000018","O0000018","2025-09-18","Product","High","2025-09-23","Resolved","3"
"CP0000018","C000019","O0000019","2025-09-19","Product","Medium","2025-09-25","Resolved","4"
"CP0000019","C000020","O0000020","2025-09-20","Delivery","Low","2025-09-27","Resolved","5"
"CP0000020","C000021","O0000021","2025-09-21","Support","Critical","2025-09-29","Resolved","1"
"CP0000021","C000022","O0000022","2025-09-22","Support","Critical","2025-10-01","Resolved","2"
"CP0000022","C000023","O0000023","2025-09-23","Product","High","2025-10-03","Resolved","3"
"CP0000023","C000024","O0000024","2025-09-24","Payment","Medium","2025-10-05","Resolved","4"
"CP0000024","C000025","O0000025","2025-09-25","Support","Medium","","Open",""
"CP0000025","C000026","O0000026","2025-09-26","Delivery","Critical","2025-09-27","Resolved","1"
"CP0000026","C000027","O0000027","2025-09-27","Product","Critical","2025-09-29","Resolved","2"
"CP0000027","C000028","O0000028","2025-09-28","Support","Medium","2025-10-01","Resolved","3"
"CP0000028","C000029","O0000029","2025-09-29","Refund","Medium","2025-10-03","Resolved","4"
"CP0000029","C000030","O0000030","2025-09-30","Refund","Low","2025-10-05","Resolved","5"
"CP0000030","C000031","O0000031","2025-10-01","Delivery","Critical","2025-10-07","Resolved","1"
"CP0000031","C000032","O0000032","2025-10-02","Payment","Critical","2025-10-09","Resolved","2"
"CP0000032","C000033","O0000033","2025-10-03","Refund","Low","","Open",""
"CP0000033","C000034","O0000034","2025-10-04","Delivery","Low","2025-10-13","Resolved","4"
"CP0000034","C000035","O0000035","2025-10-05","Support","High","2025-10-15","Resolved","5"
"CP0000035","C000036","O0000036","2025-10-06","Payment","High","2025-10-17","Resolved","1"
"CP0000036","C000037","O0000037","2025-10-07","Payment","High","2025-10-07","Resolved","2"
"CP0000037","C000038","O0000038","2025-10-08","Refund","Critical","2025-10-09","Resolved","3"
"CP0000038","C000039","O0000039","2025-10-09","Refund","Critical","2025-10-11","Resolved","4"
"CP0000039","C000040","O0000040","2025-10-10","Delivery","High","2025-10-13","Resolved","5"
"CP0000040","C000041","O0000041","2025-10-11","Payment","Medium","","Open",""
"CP0000041","C000042","O0000042","2025-10-12","Payment","Medium","2025-10-17","Resolved","2"
"CP0000042","C000043","O0000043","2025-10-13","Product","Low","2025-10-19","Resolved","3"
"CP0000043","C000044","O0000044","2025-10-14","Refund","Low","2025-10-21","Resolved","4"
"CP0000044","C000045","O0000045","2025-10-15","Payment","Medium","2025-10-23","Resolved","5"
"CP0000045","C000046","O0000046","2025-10-16","Payment","Critical","2025-10-25","Resolved","1"
"CP0000046","C000047","O0000047","2025-10-17","Product","Critical","2025-10-27","Resolved","2"
"CP0000047","C000048","O0000048","2025-10-18","Support","Critical","2025-10-29","Resolved","3"
"CP0000048","C000049","O0000049","2025-10-19","Support","Critical","","Open",""
"CP0000049","C000050","O0000050","2025-10-20","Support","Medium","2025-10-21","Resolved","5"
"CP0000050","C000051","O0000051","2025-10-21","Refund","Low","2025-10-23","Resolved","1"
"CP0000051","C000052","O0000052","2025-10-22","Refund","Critical","2025-10-25","Resolved","2"
"CP0000052","C000053","O0000053","2025-10-23","Delivery","Low","2025-10-27","Resolved","3"
"CP0000053","C000054","O0000054","2025-10-24","Product","Low","2025-10-29","Resolved","4"
"CP0000054","C000055","O0000055","2025-10-25","Refund","Critical","2025-10-31","Resolved","5"
"CP0000055","C000056","O0000056","2025-10-26","Payment","Critical","2025-11-02","Resolved","1"
"CP0000056","C000057","O0000057","2025-10-27","Product","Medium","","Open",""
"CP0000057","C000058","O0000058","2025-10-28","Support","High","2025-11-06","Resolved","3"
"CP0000058","C000059","O0000059","2025-10-29","Refund","High","2025-11-08","Resolved","4"
"CP0000059","C000060","O0000060","2025-10-30","Product","High","2025-11-10","Resolved","5"
"CP0000060","C000061","O0000061","2025-10-31","Refund","Critical","2025-10-31","Resolved","1"
"CP0000061","C000062","O0000062","2025-11-01","Product","High","2025-11-02","Resolved","2"
"CP0000062","C000063","O0000063","2025-11-02","Product","Critical","2025-11-04","Resolved","3"
"CP0000063","C000064","O0000064","2025-11-03","Delivery","Low","2025-11-06","Resolved","4"
"CP0000064","C000065","O0000065","2025-11-04","Refund","Low","","Open",""
"CP0000065","C000066","O0000066","2025-11-05","Payment","Low","2025-11-10","Resolved","1"
"CP0000066","C000067","O0000067","2025-11-06","Payment","High","2025-11-12","Resolved","2"
"CP0000067","C000068","O0000068","2025-11-07","Payment","Low","2025-11-14","Resolved","3"
"CP0000068","C000069","O0000069","2025-11-08","Refund","Low","2025-11-16","Resolved","4"
"CP0000069","C000070","O0000070","2025-11-09","Delivery","Critical","2025-11-18","Resolved","5"
"CP0000070","C000071","O0000071","2025-11-10","Refund","Low","2025-11-20","Resolved","1"
"CP0000071","C000072","O0000072","2025-11-11","Delivery","High","2025-11-22","Resolved","2"
"CP0000072","C000073","O0000073","2025-11-12","Product","Medium","","Open",""
"CP0000073","C000074","O0000074","2025-11-13","Refund","High","2025-11-14","Resolved","4"
"CP0000074","C000075","O0000075","2025-11-14","Payment","Medium","2025-11-16","Resolved","5"
"CP0000075","C000076","O0000076","2025-11-15","Support","Medium","2025-11-18","Resolved","1"
