"Invoice_ID","Order_ID","Customer_ID","Invoice_Date","Due_Date","Invoice_Amount","Tax_Amount","Invoice_Status"
"INV0000001","O0000001","C000002","2025-09-02","2025-10-02","282.50","50.85","Issued"
"INV0000002","O0000002","C000003","2025-09-03","2025-10-03","541.00","97.38","Issued"
"INV0000003","O0000003","C000004","2025-09-04","2025-10-04","860.94","154.97","Issued"
"INV0000004","O0000004","C000005","2025-09-05","2025-10-05","1277.28","229.91","Issued"
"INV0000005","O0000005","C000006","2025-09-06","2025-10-06","289.72","52.15","Issued"
"INV0000006","O0000006","C000007","2025-09-07","2025-10-07","646.46","116.36","Issued"
"INV0000007","O0000007","C000008","2025-09-08","2025-10-08","1094.16","196.95","Issued"
"INV0000008","O0000008","C000009","2025-09-09","2025-10-09","1590.38","286.27","Issued"
"INV0000009","O0000009","C000010","2025-09-10","2025-10-10","2201.13","396.20","Issued"
"INV0000010","O0000010","C000011","2025-09-11","2025-10-11","472.46","85.04","Issued"
"INV0000011","O0000011","C000012","2025-09-12","2025-10-12","1032.47","185.84","Overdue"
"INV0000012","O0000012","C000013","2025-09-13","2025-10-13","1643.53","295.83","Issued"
"INV0000013","O0000013","C000014","2025-09-14","2025-10-14","2314.75","416.66","Issued"
"INV0000014","O0000014","C000015","2025-09-15","2025-10-15","3118.63","561.35","Issued"
"INV0000015","O0000015","C000016","2025-09-16","2025-10-16","653.94","117.71","Issued"
"INV0000016","O0000016","C000017","2025-09-17","2025-10-17","1400.23","252.04","Issued"
"INV0000017","O0000017","C000018","2025-09-18","2025-10-18","2189.09","394.04","Issued"
"INV0000018","O0000018","C000019","2025-09-19","2025-10-19","3108.06","559.45","Issued"
"INV0000019","O0000019","C000020","2025-09-20","2025-10-20","4029.80","725.36","Issued"
"INV0000020","O0000020","C000021","2025-09-21","2025-10-21","834.14","150.15","Issued"
"INV0000021","O0000021","C000022","2025-09-22","2025-10-22","1765.46","317.78","Issued"
"INV0000022","O0000022","C000023","2025-09-23","2025-10-23","2730.85","491.55","Overdue"
"INV0000023","O0000023","C000024","2025-09-24","2025-10-24","3840.04","691.21","Issued"
"INV0000024","O0000024","C000025","2025-09-25","2025-10-25","4934.63","888.23","Issued"
"INV0000025","O0000025","C000026","2025-09-26","2025-10-26","1037.79","186.80","Issued"
"INV0000026","O0000026","C000027","2025-09-27","2025-10-27","2128.16","383.07","Issued"
"INV0000027","O0000027","C000028","2025-09-28","2025-10-28","3268.81","588.39","Issued"
"INV0000028","O0000028","C000029","2025-09-29","2025-10-29","4566.94","822.05","Issued"
"INV0000029","O0000029","C000030","2025-09-30","2025-10-30","5833.13","1049.96","Issued"
"INV0000030","O0000030","C000031","2025-10-01","2025-10-31","1219.90","219.58","Issued"
"INV0000031","O0000031","C000032","2025-10-02","2025-11-01","2488.32","447.90","Issued"
"INV0000032","O0000032","C000033","2025-10-03","2025-11-02","3895.72","701.23","Issued"
"INV0000033","O0000033","C000034","2025-10-04","2025-11-03","5288.78","951.98","Overdue"
"INV0000034","O0000034","C000035","2025-10-05","2025-11-04","6725.29","1210.55","Issued"
"INV0000035","O0000035","C000036","2025-10-06","2025-11-05","1400.74","252.13","Issued"
"INV0000036","O0000036","C000037","2025-10-07","2025-11-06","2845.94","512.27","Issued"
"INV0000037","O0000037","C000038","2025-10-08","2025-11-07","4439.38","799.09","Issued"
"INV0000038","O0000038","C000039","2025-10-09","2025-11-08","6005.55","1081.00","Issued"
"INV0000039","O0000039","C000040","2025-10-10","2025-11-09","7796.76","1403.42","Issued"
"INV0000040","O0000040","C000041","2025-10-11","2025-11-10","1580.31","284.46","Issued"
