"Campaign_ID","Campaign_Date","Channel","Campaign_Name","Spend","Impressions","Clicks","Leads","Conversions","Attributed_Revenue","Attributed_Profit"
"MC000001","2025-09-02","Instagram","Campaign 0001","10500","20001","1001","101","11","22011","-4336.919999999999"
"MC000002","2025-09-03","Email","Campaign 0002","11000","20002","1002","102","12","24024","-4273.28"
"MC000003","2025-09-04","Referral","Campaign 0003","11500","20003","1003","103","13","26039","-4209.079999999999"
"MC000004","2025-09-05","Organic Search","Campaign 0004","12000","20004","1004","104","14","28056","-4144.319999999999"
"MC000005","2025-09-06","Google Ads","Campaign 0005","12500","20005","1005","105","15","30075","-4079"
"MC000006","2025-09-07","Instagram","Campaign 0006","13000","20006","1006","106","16","32096","-4013.119999999999"
"MC000007","2025-09-08","Email","Campaign 0007","13500","20007","1007","107","17","34119","-3946.6799999999985"
"MC000008","2025-09-09","Referral","Campaign 0008","14000","20008","1008","108","18","36144","-3879.6799999999985"
"MC000009","2025-09-10","Organic Search","Campaign 0009","14500","20009","1009","109","19","38171","-3812.119999999999"
"MC000010","2025-09-11","Google Ads","Campaign 0010","15000","20010","1010","110","20","40200","-3743.999999999998"
"MC000011","2025-09-12","Instagram","Campaign 0011","15500","20011","1011","111","21","42231","-3675.3199999999997"
"MC000012","2025-09-13","Email","Campaign 0012","16000","20012","1012","112","22","44264","-3606.079999999998"
"MC000013","2025-09-14","Referral","Campaign 0013","16500","20013","1013","113","23","46299","-3536.279999999999"
"MC000014","2025-09-15","Organic Search","Campaign 0014","17000","20014","1014","114","24","48336","-3465.9199999999983"
"MC000015","2025-09-16","Google Ads","Campaign 0015","17500","20015","1015","115","25","50375","-3394.999999999998"
"MC000016","2025-09-17","Instagram","Campaign 0016","18000","20016","1016","116","26","52416","-3323.5199999999986"
"MC000017","2025-09-18","Email","Campaign 0017","18500","20017","1017","117","27","54459","-3251.4799999999977"
"MC000018","2025-09-19","Referral","Campaign 0018","19000","20018","1018","118","28","56504","-3178.879999999999"
"MC000019","2025-09-20","Organic Search","Campaign 0019","19500","20019","1019","119","29","58551","-3105.7199999999975"
"MC000020","2025-09-21","Google Ads","Campaign 0020","20000","20020","1020","120","30","60600","-3032"
"MC000021","2025-09-22","Instagram","Campaign 0021","20500","20021","1021","121","31","62651","-2957.7199999999975"
"MC000022","2025-09-23","Email","Campaign 0022","21000","20022","1022","122","32","64704","-2882.8799999999974"
"MC000023","2025-09-24","Referral","Campaign 0023","21500","20023","1023","123","33","66759","-2807.4799999999996"
"MC000024","2025-09-25","Organic Search","Campaign 0024","22000","20024","1024","124","34","68816","-2731.519999999997"
"MC000025","2025-09-26","Google Ads","Campaign 0025","22500","20025","1025","125","35","70875","-2654.9999999999964"
"MC000026","2025-09-27","Instagram","Campaign 0026","23000","20026","1026","126","36","72936","-2577.9199999999983"
"MC000027","2025-09-28","Email","Campaign 0027","23500","20027","1027","127","37","74999","-2500.279999999999"
"MC000028","2025-09-29","Referral","Campaign 0028","24000","20028","1028","128","38","77064","-2422.079999999998"
"MC000029","2025-09-30","Organic Search","Campaign 0029","24500","20029","1029","129","39","79131","-2343.3199999999997"
