"Target_ID","Month","Region_ID","Department","Revenue_Target","Profit_Target","Orders_Target","Collection_Target","Inventory_Target","Management_Reported_Revenue"
"TG00001","2025-09","R001","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00002","2025-09","R002","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00003","2025-09","R003","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00004","2025-09","R004","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00005","2025-09","R005","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00006","2025-09","R006","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00007","2025-09","R007","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00008","2025-09","R008","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00009","2025-09","R009","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00010","2025-09","R010","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00011","2025-09","R011","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00012","2025-09","R012","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00013","2025-09","R013","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00014","2025-09","R014","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00015","2025-09","R015","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00016","2025-09","R016","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00017","2025-09","R017","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00018","2025-09","R018","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00019","2025-09","R019","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00020","2025-09","R020","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00021","2025-10","R001","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00022","2025-10","R002","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00023","2025-10","R003","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00024","2025-10","R004","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00025","2025-10","R005","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00026","2025-10","R006","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00027","2025-10","R007","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00028","2025-10","R008","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00029","2025-10","R009","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00030","2025-10","R010","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00031","2025-10","R011","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00032","2025-10","R012","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00033","2025-10","R013","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00034","2025-10","R014","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00035","2025-10","R015","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00036","2025-10","R016","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00037","2025-10","R017","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00038","2025-10","R018","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00039","2025-10","R019","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00040","2025-10","R020","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00041","2025-10","R001","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00042","2025-10","R002","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00043","2025-10","R003","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00044","2025-10","R004","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00045","2025-10","R005","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00046","2025-10","R006","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00047","2025-10","R007","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00048","2025-10","R008","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00049","2025-10","R009","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00050","2025-10","R010","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00051","2025-10","R011","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00052","2025-10","R012","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00053","2025-10","R013","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00054","2025-10","R014","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00055","2025-10","R015","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00056","2025-10","R016","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00057","2025-10","R017","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00058","2025-10","R018","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00059","2025-10","R019","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00060","2025-10","R020","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00061","2025-11","R001","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00062","2025-11","R002","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00063","2025-11","R003","Finance","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00064","2025-11","R004","Operations","2500000","400000","5000","2200000","6000000","2166666.67"
"TG00065","2025-11","R005","Sales","2500000","400000","5000","2200000","6000000","2166666.67"
