"Order_Item_ID","Order_ID","Product_ID","Quantity","Unit_Price","Discount_Pct","Gross_Amount","Net_Amount"
"OI00000001","O0000001","P00002","2","675.00","0.01","1350.00","102.95"
"OI00000002","O0000002","P00003","3","850.00","0.02","2550.00","192.50"
"OI00000003","O0000003","P00004","4","1025.00","0.03","4100.00","306.35"
"OI00000004","O0000004","P00005","5","1200.00","0.04","6000.00","443.69"
"OI00000005","O0000005","P00006","1","1375.00","0.05","1375.00","100.62"
"OI00000006","O0000006","P00007","2","1550.00","0.06","3100.00","224.47"
"OI00000007","O0000007","P00008","3","1725.00","0.00","5175.00","398.63"
"OI00000008","O0000008","P00009","4","1900.00","0.01","7600.00","579.58"
"OI00000009","O0000009","P00010","5","2075.00","0.02","10375.00","783.20"
"OI00000010","O0000010","P00011","1","2250.00","0.03","2250.00","168.12"
"OI00000011","O0000011","P00012","2","2425.00","0.04","4850.00","358.65"
"OI00000012","O0000012","P00013","3","2600.00","0.05","7800.00","570.79"
"OI00000013","O0000013","P00014","4","2775.00","0.06","11100.00","803.73"
"OI00000014","O0000014","P00015","5","2950.00","0.00","14750.00","1136.20"
"OI00000015","O0000015","P00016","1","3125.00","0.01","3125.00","238.31"
"OI00000016","O0000016","P00017","2","3300.00","0.02","6600.00","498.23"
"OI00000017","O0000017","P00018","3","3475.00","0.03","10425.00","778.95"
"OI00000018","O0000018","P00019","4","3650.00","0.04","14600.00","1079.66"
"OI00000019","O0000019","P00020","5","3825.00","0.05","19125.00","1399.54"
"OI00000020","O0000020","P00021","1","4000.00","0.06","4000.00","289.63"
"OI00000021","O0000021","P00022","2","4175.00","0.00","8350.00","643.20"
"OI00000022","O0000022","P00023","3","4350.00","0.01","13050.00","995.19"
"OI00000023","O0000023","P00024","4","4525.00","0.02","18100.00","1366.36"
"OI00000024","O0000024","P00025","5","4700.00","0.03","23500.00","1755.90"
"OI00000025","O0000025","P00026","1","4875.00","0.04","4875.00","360.50"
"OI00000026","O0000026","P00027","2","5050.00","0.05","10100.00","739.11"
"OI00000027","O0000027","P00028","3","5225.00","0.06","15675.00","1135.00"
"OI00000028","O0000028","P00029","4","5400.00","0.00","21600.00","1663.85"
"OI00000029","O0000029","P00030","5","5575.00","0.01","27875.00","2125.75"
"OI00000030","O0000030","P00031","1","5750.00","0.02","5750.00","434.07"
"OI00000031","O0000031","P00032","2","5925.00","0.03","11850.00","885.42"
"OI00000032","O0000032","P00033","3","6100.00","0.04","18300.00","1353.27"
"OI00000033","O0000033","P00034","4","6275.00","0.05","25100.00","1836.79"
"OI00000034","O0000034","P00035","5","6450.00","0.06","32250.00","2335.17"
"OI00000035","O0000035","P00036","1","6625.00","0.00","6625.00","510.33"
"OI00000036","O0000036","P00037","2","6800.00","0.01","13600.00","1037.14"
"OI00000037","O0000037","P00038","3","6975.00","0.02","20925.00","1579.62"
"OI00000038","O0000038","P00039","4","7150.00","0.03","28600.00","2136.97"
"OI00000039","O0000039","P00040","5","7325.00","0.04","36625.00","2708.38"
"OI00000040","O0000040","P00041","1","7500.00","0.05","7500.00","548.84"
"OI00000041","O0000041","P00042","2","7675.00","0.06","15350.00","1111.47"
"OI00000042","O0000042","P00043","3","7850.00","0.00","23550.00","1814.06"
"OI00000043","O0000043","P00044","4","8025.00","0.01","32100.00","2447.94"
"OI00000044","O0000044","P00045","5","8200.00","0.02","41000.00","3095.07"
"OI00000045","O0000045","P00046","1","8375.00","0.03","8375.00","625.77"
"OI00000046","O0000046","P00047","2","8550.00","0.04","17100.00","1264.53"
"OI00000047","O0000047","P00048","3","8725.00","0.05","26175.00","1915.45"
"OI00000048","O0000048","P00049","4","8900.00","0.06","35600.00","2577.74"
"OI00000049","O0000049","P00050","5","9075.00","0.00","45375.00","3495.25"
"OI00000050","O0000050","P00051","1","9250.00","0.01","9250.00","705.40"
"OI00000051","O0000051","P00052","2","9425.00","0.02","18850.00","1422.98"
"OI00000052","O0000052","P00053","3","9600.00","0.03","28800.00","2151.92"
"OI00000053","O0000053","P00054","4","9775.00","0.04","39100.00","2891.41"
"OI00000054","O0000054","P00055","5","9950.00","0.05","49750.00","3640.64"
"OI00000055","O0000055","P00056","1","10125.00","0.06","10125.00","733.14"
"OI00000056","O0000056","P00057","2","10300.00","0.00","20600.00","1586.82"
"OI00000057","O0000057","P00058","3","10475.00","0.01","31425.00","2396.47"
"OI00000058","O0000058","P00059","4","10650.00","0.02","42600.00","3215.86"
"OI00000059","O0000059","P00060","5","10825.00","0.03","54125.00","4044.18"
"OI00000060","O0000060","P00061","1","11000.00","0.04","11000.00","813.44"
"OI00000061","O0000061","P00062","2","11175.00","0.05","22350.00","1635.54"
"OI00000062","O0000062","P00063","3","11350.00","0.06","34050.00","2465.51"
"OI00000063","O0000063","P00064","4","11525.00","0.00","46100.00","3551.09"
"OI00000064","O0000064","P00065","5","11700.00","0.01","58500.00","4461.21"
"OI00000065","O0000065","P00066","1","11875.00","0.02","11875.00","896.44"
"OI00000066","O0000066","P00067","2","12050.00","0.03","24100.00","1800.74"
"OI00000067","O0000067","P00068","3","12225.00","0.04","36675.00","2712.08"
"OI00000068","O0000068","P00069","4","12400.00","0.05","49600.00","3629.66"
