"Payment_ID","Invoice_ID","Customer_ID","Payment_Date","Payment_Method","Payment_Amount","Payment_Fee","Payment_Status"
"PAY0000001","INV0000001","C000002","2025-09-22","Card","3617.00","65.11","Successful"
"PAY0000002","INV0000002","C000003","2025-09-23","Wallet","3734.00","67.21","Successful"
"PAY0000003","INV0000003","C000004","2025-09-24","Card","3851.00","69.32","Successful"
"PAY0000004","INV0000004","C000005","2025-09-25","UPI","3968.00","71.42","Successful"
"PAY0000005","INV0000005","C000006","2025-09-26","Wallet","4085.00","73.53","Successful"
"PAY0000006","INV0000006","C000007","2025-09-27","Card","4202.00","75.64","Successful"
"PAY0000007","INV0000007","C000008","2025-09-28","Wallet","4319.00","77.74","Successful"
"PAY0000008","INV0000008","C000009","2025-09-29","Card","4436.00","79.85","Successful"
"PAY0000009","INV0000009","C000010","2025-09-30","Bank Transfer","4553.00","81.95","Successful"
"PAY0000010","INV0000010","C000011","2025-10-01","Bank Transfer","4670.00","84.06","Successful"
"PAY0000011","INV0000011","C000012","2025-10-02","Wallet","4787.00","86.17","Successful"
"PAY0000012","INV0000012","C000013","2025-10-03","Wallet","4904.00","88.27","Successful"
"PAY0000013","INV0000013","C000014","2025-10-04","Bank Transfer","5021.00","90.38","Successful"
"PAY0000014","INV0000014","C000015","2025-10-05","Card","5138.00","92.48","Successful"
"PAY0000015","INV0000015","C000016","2025-10-06","Bank Transfer","5255.00","94.59","Successful"
"PAY0000016","INV0000016","C000017","2025-10-07","Bank Transfer","5372.00","96.70","Successful"
"PAY0000017","INV0000017","C000018","2025-10-08","UPI","5489.00","98.80","Failed"
"PAY0000018","INV0000018","C000019","2025-10-09","Bank Transfer","5606.00","100.91","Successful"
"PAY0000019","INV0000019","C000020","2025-10-10","UPI","5723.00","103.01","Successful"
"PAY0000020","INV0000020","C000021","2025-10-11","UPI","5840.00","105.12","Successful"
"PAY0000021","INV0000021","C000022","2025-10-12","UPI","5957.00","107.23","Successful"
"PAY0000022","INV0000022","C000023","2025-10-13","Wallet","6074.00","109.33","Successful"
"PAY0000023","INV0000023","C000024","2025-10-14","Wallet","6191.00","111.44","Successful"
"PAY0000024","INV0000024","C000025","2025-10-15","Wallet","6308.00","113.54","Successful"
"PAY0000025","INV0000025","C000026","2025-10-16","Card","6425.00","115.65","Successful"
"PAY0000026","INV0000026","C000027","2025-10-17","UPI","6542.00","117.76","Successful"
"PAY0000027","INV0000027","C000028","2025-10-18","UPI","6659.00","119.86","Successful"
"PAY0000028","INV0000028","C000029","2025-10-19","Card","6776.00","121.97","Successful"
"PAY0000029","INV0000029","C000030","2025-10-20","UPI","6893.00","124.07","Successful"
"PAY0000030","INV0000030","C000031","2025-10-21","Bank Transfer","7010.00","126.18","Successful"
"PAY0000031","INV0000031","C000032","2025-10-22","Card","7127.00","128.29","Successful"
"PAY0000032","INV0000032","C000033","2025-10-23","UPI","7244.00","130.39","Successful"
"PAY0000033","INV0000033","C000034","2025-10-24","Wallet","7361.00","132.50","Successful"
"PAY0000034","INV0000034","C000035","2025-10-25","Bank Transfer","7478.00","134.60","Failed"
"PAY0000035","INV0000035","C000036","2025-10-26","Bank Transfer","7595.00","136.71","Successful"
"PAY0000036","INV0000036","C000037","2025-10-27","UPI","7712.00","138.82","Successful"
"PAY0000037","INV0000037","C000038","2025-10-28","Wallet","7829.00","140.92","Successful"
"PAY0000038","INV0000038","C000039","2025-10-29","Wallet","7946.00","143.03","Successful"
"PAY0000039","INV0000039","C000040","2025-10-30","Card","8063.00","145.13","Successful"
"PAY0000040","INV0000040","C000041","2025-10-31","UPI","8180.00","147.24","Successful"
"PAY0000041","INV0000041","C000042","2025-11-01","Card","8297.00","149.35","Successful"
"PAY0000042","INV0000042","C000043","2025-11-02","Card","8414.00","151.45","Successful"
"PAY0000043","INV0000043","C000044","2025-11-03","UPI","8531.00","153.56","Successful"
"PAY0000044","INV0000044","C000045","2025-11-04","Wallet","8648.00","155.66","Successful"
"PAY0000045","INV0000045","C000046","2025-11-05","Card","8765.00","157.77","Successful"
"PAY0000046","INV0000046","C000047","2025-11-06","Bank Transfer","8882.00","159.88","Successful"
"PAY0000047","INV0000047","C000048","2025-11-07","UPI","8999.00","161.98","Successful"
"PAY0000048","INV0000048","C000049","2025-11-08","UPI","9116.00","164.09","Successful"
"PAY0000049","INV0000049","C000050","2025-11-09","Wallet","9233.00","166.19","Successful"
"PAY0000050","INV0000050","C000051","2025-11-10","UPI","9350.00","168.30","Successful"
"PAY0000051","INV0000051","C000052","2025-11-11","Bank Transfer","9467.00","170.41","Failed"
"PAY0000052","INV0000052","C000053","2025-11-12","Wallet","9584.00","172.51","Successful"
"PAY0000053","INV0000053","C000054","2025-11-13","Bank Transfer","9701.00","174.62","Successful"
"PAY0000054","INV0000054","C000055","2025-11-14","UPI","9818.00","176.72","Successful"
"PAY0000055","INV0000055","C000056","2025-11-15","Card","9935.00","178.83","Successful"
"PAY0000056","INV0000056","C000057","2025-11-16","Card","10052.00","180.94","Successful"
"PAY0000057","INV0000057","C000058","2025-11-17","UPI","10169.00","183.04","Successful"
"PAY0000058","INV0000058","C000059","2025-11-18","UPI","10286.00","185.15","Successful"
"PAY0000059","INV0000059","C000060","2025-11-19","Card","10403.00","187.25","Successful"
"PAY0000060","INV0000060","C000061","2025-11-20","Bank Transfer","10520.00","189.36","Successful"
"PAY0000061","INV0000061","C000062","2025-11-21","Card","10637.00","191.47","Successful"
"PAY0000062","INV0000062","C000063","2025-11-22","UPI","10754.00","193.57","Successful"
"PAY0000063","INV0000063","C000064","2025-11-23","UPI","10871.00","195.68","Successful"
"PAY0000064","INV0000064","C000065","2025-11-24","UPI","10988.00","197.78","Successful"
"PAY0000065","INV0000065","C000066","2025-11-25","UPI","11105.00","199.89","Successful"
