Dataset,Record_ID,Transaction_Date,Customer_ID,Product_ID,Additional_Entity,Transaction_Amount,Discount,Refund,Net_Profit,Anomaly_Score,Priority,Anomaly_Reason,Recommended_Action
Inventory,P00560-W020-2025-11-19,2025-11-19,,P00560,W020,-1670340.0,0.0,0.0,0.0,99.09,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-08-01,2026-08-01,,P00060,W020,-1670340.0,0.0,0.0,0.0,99.09,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00559-W019-2026-04-02,2026-04-02,,P00559,W019,-1616560.0,0.0,0.0,0.0,99.0,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00059-W019-2026-07-21,2026-07-21,,P00059,W019,-1616560.0,0.0,0.0,0.0,99.0,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2026-04-03,2026-04-03,,P00560,W020,-1663550.0,0.0,0.0,0.0,99.0,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-07-22,2026-07-22,,P00060,W020,-1663550.0,0.0,0.0,0.0,99.0,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2025-12-04,2025-12-04,,P00060,W020,-1656760.0,0.0,0.0,0.0,98.98,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2026-03-24,2026-03-24,,P00560,W020,-1656760.0,0.0,0.0,0.0,98.98,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00560-W020-2026-08-06,2026-08-06,,P00560,W020,-1649970.0,0.0,0.0,0.0,98.97,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2025-11-24,2025-11-24,,P00060,W020,-1649970.0,0.0,0.0,0.0,98.97,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2026-04-08,2026-04-08,,P00060,W020,-1643180.0,0.0,0.0,0.0,98.95,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
Inventory,P00060-W020-2025-11-14,2025-11-14,,P00060,W020,-1643180.0,0.0,0.0,0.0,98.95,Critical,Negative closing stock; Unusual inventory movement; Unusual closing-stock change; Unusual inventory-value change; Negative inventory value,"Reconcile warehouse movement with purchase, sale and return records; physically validate stock."
