Product_ID,Product_Name,Category,Subcategory,Opening_Stock,Closing_Stock,Closing_Stock_Value,Warehouse_Count,Average_Inventory_Units,Average_Inventory_Value,Inventory_Observations,Stockout_Observations,Stockout_Rate_Percentage,Purchased_Units,Purchase_Orders,Average_Lead_Time_Days,Average_Delivery_Delay_Days,On_Time_Delivery_Rate,On_Time_Delivery_Rate_Percentage,Returned_Units,Units_Sold,Cost_Of_Goods_Sold,Revenue,Net_Profit,First_Sale_Date,Last_Sale_Date,Average_Daily_Demand,Inventory_Turnover,Days_Inventory,Return_Rate_Percentage,Average_Unit_Stock_Value,Target_Stock_Units,Excess_Inventory_Units,Excess_Inventory_Value,Expected_Closing_Stock,Inventory_Reconciliation_Difference,Inventory_Status,Priority,Recommended_Action
P00001,Furniture Product 0001,Furniture,Subcategory 1,50,118,35400.0,1,22.97,6891.78,120,40,33.33,6300,25,23.68,0.0,0.0,0.0,15.0,250.0,5464.59,8799.26,-11375.81,2025-09-01,2026-08-27,0.68,0.79,172.28,6.0,300.0,61.64,56.36,16906.85,6115.0,-5997.0,Excess Inventory,Medium,Reduce reorder quantity and transfer or promote excess stock.
P00002,Office Supplies Product 0002,Office Supplies,Subcategory 2,51,108,44280.0,1,11.92,4886.3,120,41,34.17,5624,24,24.25,0.0,0.0,0.0,15.0,496.0,14868.1,23570.44,-11783.04,2025-09-02,2026-08-28,1.36,3.04,79.48,3.02,410.0,122.3,0.0,0.0,5194.0,-5086.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00003,Home Appliances Product 0003,Home Appliances,Subcategory 3,52,105,54600.0,1,3.78,1966.03,120,41,34.17,5698,24,23.58,0.0,0.0,0.0,14.0,744.0,28284.88,44522.22,-12604.93,2025-09-03,2026-08-29,2.04,14.39,51.51,1.88,520.0,183.45,0.0,0.0,5020.0,-4915.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00004,Accessories Product 0004,Accessories,Subcategory 4,53,102,64260.0,1,-4.36,-2744.38,120,41,34.17,5669,23,25.13,0.0,0.0,0.0,15.0,988.0,45510.48,71323.74,-13343.88,2025-09-04,2026-08-30,2.71,0.0,37.68,1.52,630.0,243.62,0.0,0.0,4749.0,-4647.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00005,IT Equipment Product 0005,IT Equipment,Subcategory 5,54,90,66600.0,1,-12.59,-9315.89,120,41,34.17,5846,24,24.58,0.0,0.0,0.0,14.0,1240.0,67088.78,104790.08,-14323.61,2025-09-05,2026-08-31,3.4,0.0,26.49,1.13,740.0,305.75,0.0,0.0,4674.0,-4584.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00006,Electronics Product 0006,Electronics,Subcategory 6,55,33,28050.0,1,-20.73,-17617.12,120,41,34.17,5465,23,24.65,0.0,0.0,0.0,15.0,245.0,15227.56,23726.13,-13330.06,2025-09-01,2026-08-27,0.67,0.0,49.16,6.12,850.0,60.41,0.0,0.0,5290.0,-5257.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00007,Furniture Product 0007,Furniture,Subcategory 7,56,23,22080.0,1,-28.86,-27708.49,120,41,34.17,5382,22,24.55,0.0,0.0,0.0,15.0,494.0,34675.23,53908.19,-14074.24,2025-09-02,2026-08-28,1.35,0.0,16.99,3.04,960.0,121.81,0.0,0.0,4959.0,-4936.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00008,Office Supplies Product 0008,Office Supplies,Subcategory 8,57,20,21400.0,1,-37.22,-39824.52,120,41,34.17,5768,24,24.96,0.0,0.0,0.0,14.0,732.0,57271.4,88859.82,-15247.66,2025-09-03,2026-08-29,2.01,0.0,9.97,1.91,1070.0,180.49,0.0,0.0,5107.0,-5087.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00009,Home Appliances Product 0009,Home Appliances,Subcategory 9,58,-167,-197060.0,1,-45.58,-53778.9,120,41,34.17,6250,25,24.4,0.0,0.0,0.0,15.0,992.0,85583.96,132695.18,-16622.96,2025-09-04,2026-08-30,2.72,0.0,-61.45,1.51,0.0,244.6,0.0,0.0,5331.0,-5498.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00010,Accessories Product 0010,Accessories,Subcategory 10,59,-177,-228330.0,1,-53.84,-69447.95,120,41,34.17,5607,23,25.3,0.0,0.0,0.0,15.0,1235.0,116483.18,180400.91,-18127.65,2025-09-05,2026-08-31,3.38,0.0,-52.31,1.21,0.0,304.52,0.0,0.0,4446.0,-4623.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00011,IT Equipment Product 0011,IT Equipment,Subcategory 11,60,-172,-240800.0,1,-61.97,-86761.64,120,47,39.17,5430,23,23.04,0.0,0.0,0.0,14.0,245.0,25079.82,38817.81,-15279.62,2025-09-01,2026-08-27,0.67,0.0,-256.24,5.71,0.0,60.41,0.0,0.0,5259.0,-5431.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00012,Electronics Product 0012,Electronics,Subcategory 12,61,63,95130.0,1,-70.21,-106010.27,120,63,52.5,5864,24,24.5,0.0,0.0,0.0,15.0,496.0,54758.66,84704.64,-16562.6,2025-09-02,2026-08-28,1.36,0.0,46.36,3.02,1510.0,122.3,0.0,0.0,5444.0,-5381.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00013,Furniture Product 0013,Furniture,Subcategory 13,62,-185,-299700.0,1,-78.34,-126914.79,120,80,66.67,5626,23,24.43,0.0,0.0,0.0,15.0,741.0,87451.68,135694.53,-18157.71,2025-09-03,2026-08-29,2.03,0.0,-91.13,2.02,0.0,182.71,0.0,0.0,4962.0,-5147.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
P00014,Office Supplies Product 0014,Office Supplies,Subcategory 14,63,48,83040.0,1,-86.48,-149609.45,120,80,66.67,5912,24,24.96,0.0,0.0,0.0,15.0,992.0,125022.46,193804.74,-20036.46,2025-09-04,2026-08-30,2.72,0.0,17.66,1.51,1730.0,244.6,0.0,0.0,4998.0,-4950.0,Stockout Risk,High,Review reorder point and maintain safety stock.
P00015,Home Appliances Product 0015,Home Appliances,Subcategory 15,64,-200,-368000.0,1,-94.71,-174270.68,120,80,66.67,5936,24,23.75,0.0,0.0,0.0,14.0,1225.0,164810.59,254364.2,-22129.78,2025-09-05,2026-08-31,3.36,0.0,-59.59,1.14,0.0,302.05,0.0,0.0,4789.0,-4989.0,Inventory Data Issue,Critical,Investigate negative stock and correct inventory movement or reconciliation records.
