Supplier_ID,Supplier_Name,Supplier_Region,Purchase_Order_Count,Product_Count,Purchase_Quantity,Purchase_Value,Average_Delivery_Time_Days,Average_Delivery_Delay_Days,On_Time_Deliveries,Total_Deliveries,Rejected_Quantity,Average_Quality_Score,On_Time_Delivery_Percentage,Rejection_Rate_Percentage,Average_Unit_Cost,Unit_Cost_Standard_Deviation,Minimum_Unit_Cost,Maximum_Unit_Cost,Price_Variation_Percentage,On_Time_Score,Quality_Score,Lead_Time_Score,Price_Stability_Score,Rejection_Score,Supplier_Performance_Score,Supplier_Rank,Supplier_Status,Unit_Cost_Change_Percentage,Delivery_Time_Change_Days,On_Time_Change_Percentage_Points,Rejection_Rate_Change,Quality_Change,Decline_Factor_Count,Trend_Status,Review_Priority,Recommended_Action
S00075,Supplier 075,R016,121,5,32854,294406443.2,23.98,3.98,28,121,0,100.0,23.14,0.0,8943.61,277.35,8608.8,9284.0,3.1,23.14,100.0,92.12,53.13,100.0,68.34,1,Monitor,0.06,-0.5,1.15,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00055,Supplier 055,R016,120,5,30380,199821273.6,24.13,4.13,28,120,0,100.0,23.33,0.0,6612.32,203.36,6364.8,6864.0,3.08,23.33,100.0,78.32,70.57,100.0,68.25,2,Monitor,-0.19,-0.26,1.56,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00187,Supplier 187,R008,121,5,34506,357581804.8,24.12,4.12,28,121,0,100.0,23.14,0.0,10339.15,318.69,9955.2,10736.0,3.08,23.14,100.0,79.94,65.84,100.0,67.81,3,Monitor,-0.13,-0.3,0.38,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00163,Supplier 163,R004,121,5,31452,237823379.2,24.12,4.12,28,121,0,100.0,23.14,0.0,7542.49,232.49,7262.4,7832.0,3.08,23.14,100.0,79.94,65.84,100.0,67.81,4,Monitor,-0.25,-0.29,1.15,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00147,Supplier 147,R008,122,5,36112,204294899.2,23.98,3.98,28,122,0,100.0,22.95,0.0,5681.6,176.5,5467.2,5896.0,3.11,22.95,100.0,92.11,49.5,100.0,67.73,5,Monitor,-0.12,-0.56,0.75,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00079,Supplier 079,R020,121,5,33188,310864646.4,24.13,4.13,28,121,0,100.0,23.14,0.0,9412.8,290.02,9057.6,9768.0,3.08,23.14,100.0,78.42,66.71,100.0,67.63,6,Monitor,-0.12,-0.26,1.15,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00167,Supplier 167,R008,121,5,32186,256806849.6,24.13,4.13,28,121,0,100.0,23.14,0.0,8013.6,246.91,7711.2,8316.0,3.08,23.14,100.0,78.42,66.71,100.0,67.63,7,Monitor,0.0,-0.19,1.92,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00143,Supplier 143,R004,121,5,34982,182861246.4,24.13,4.13,28,121,0,100.0,23.14,0.0,5215.2,160.69,5018.4,5412.0,3.08,23.14,100.0,78.42,66.71,100.0,67.63,8,Monitor,0.12,-0.19,1.15,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00119,Supplier 119,R020,121,5,32378,78447230.4,24.13,4.13,28,121,0,100.0,23.14,0.0,2416.8,74.46,2325.6,2508.0,3.08,23.14,100.0,78.42,66.71,100.0,67.63,8,Monitor,0.0,-0.26,0.38,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00095,Supplier 095,R016,121,5,35624,402696761.6,24.13,4.13,28,121,0,100.0,23.14,0.0,11278.4,347.5,10852.8,11704.0,3.08,23.14,100.0,78.42,66.71,100.0,67.63,9,Monitor,-0.12,-0.26,1.15,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00035,Supplier 035,R016,121,5,34114,145559422.4,24.15,4.15,28,121,0,100.0,23.14,0.0,4285.07,131.92,4120.8,4444.0,3.08,23.14,100.0,76.9,68.45,100.0,67.59,10,Monitor,0.13,-0.15,1.92,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00059,Supplier 059,R020,121,5,31318,222455489.6,24.15,4.15,28,121,0,100.0,23.14,0.0,7085.22,218.12,6813.6,7348.0,3.08,23.14,100.0,76.9,68.45,100.0,67.59,11,Monitor,0.13,0.37,1.15,0.0,0.0,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00139,Supplier 139,R020,122,5,35086,166837888.0,24.1,4.1,28,122,0,100.0,22.95,0.0,4744.39,146.55,4569.6,4928.0,3.09,22.95,100.0,81.54,61.41,100.0,67.4,12,Monitor,-0.19,-0.26,1.51,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00115,Supplier 115,R016,122,5,32008,62524672.0,24.1,4.1,28,122,0,100.0,22.95,0.0,1948.59,60.19,1876.8,2024.0,3.09,22.95,100.0,81.54,61.41,100.0,67.4,13,Monitor,-0.06,-0.26,0.75,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00155,Supplier 155,R016,122,5,30638,201741945.6,24.13,4.13,28,122,0,100.0,22.95,0.0,6616.45,204.21,6364.8,6864.0,3.09,22.95,100.0,78.52,63.15,100.0,67.06,14,Monitor,0.19,-0.33,3.28,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00183,Supplier 183,R004,123,5,34336,339728912.0,24.1,4.1,28,123,0,100.0,22.76,0.0,9873.14,305.57,9506.4,10252.0,3.1,22.76,100.0,81.61,57.29,100.0,66.74,15,Monitor,-0.0,-0.26,0.37,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00199,Supplier 199,R020,123,5,36654,431269499.2,24.11,4.11,28,123,0,100.0,22.76,0.0,11744.8,363.35,11301.6,12188.0,3.09,22.76,100.0,80.11,58.16,100.0,66.58,16,Monitor,0.12,-0.23,0.37,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00043,Supplier 043,R004,124,5,36058,188395656.0,24.1,4.1,28,124,0,100.0,22.58,0.0,5213.61,161.66,5018.4,5412.0,3.1,22.58,100.0,81.68,53.46,100.0,66.13,17,Monitor,-0.06,0.26,0.0,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00103,Supplier 103,R004,123,5,30896,17057913.6,24.24,4.24,28,123,0,100.0,22.76,0.0,551.03,16.95,530.4,572.0,3.08,22.76,100.0,68.13,70.47,100.0,66.03,18,Monitor,-0.06,0.04,1.11,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00007,Supplier 007,R008,120,5,30470,31039910.4,24.13,4.13,27,120,0,100.0,22.5,0.0,1016.32,31.46,979.2,1056.0,3.1,22.5,100.0,78.32,57.05,100.0,65.97,19,Monitor,-0.0,-0.2,-0.92,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00003,Supplier 003,R004,121,5,30192,16668787.2,24.0,4.0,27,121,0,100.0,22.31,0.0,550.86,17.19,530.4,572.0,3.12,22.31,100.0,90.6,39.83,100.0,65.79,20,Monitor,-0.13,0.07,-0.55,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00039,Supplier 039,R020,121,5,34498,164312601.6,24.03,4.03,27,121,0,100.0,22.31,0.0,4751.76,148.1,4569.6,4928.0,3.12,22.31,100.0,87.55,42.47,100.0,65.58,21,Monitor,0.0,-1.12,2.76,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00123,Supplier 123,R004,121,5,33112,94981964.8,24.15,4.15,27,121,0,100.0,22.31,0.0,2882.3,89.38,2774.4,2992.0,3.1,22.31,100.0,76.9,53.13,100.0,65.04,22,Monitor,-0.19,-0.22,-0.55,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00127,Supplier 127,R008,121,5,33346,111863115.2,24.15,4.15,27,121,0,100.0,22.31,0.0,3348.56,103.84,3223.2,3476.0,3.1,22.31,100.0,76.9,53.13,100.0,65.04,23,Monitor,-0.06,-0.29,2.76,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00019,Supplier 019,R020,121,5,32628,79053072.0,24.17,4.17,27,121,0,100.0,22.31,0.0,2417.55,74.92,2325.6,2508.0,3.1,22.31,100.0,75.37,54.44,100.0,64.94,24,Monitor,0.06,0.41,-0.55,0.0,0.0,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00083,Supplier 083,R004,121,5,33822,335096872.0,24.17,4.17,27,121,0,100.0,22.31,0.0,9882.28,306.27,9506.4,10252.0,3.1,22.31,100.0,75.37,54.44,100.0,64.94,25,Monitor,-0.06,-0.33,2.02,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00015,Supplier 015,R016,121,5,31794,62199728.0,24.17,4.17,27,121,0,100.0,22.31,0.0,1951.01,60.47,1876.8,2024.0,3.1,22.31,100.0,75.37,54.44,100.0,64.94,26,Monitor,-0.06,0.33,-1.28,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00021,Supplier 021,R002,98,4,26660,69080000.0,23.9,3.9,22,98,2172,91.79,22.45,8.15,2602.04,81.2,2500.0,2700.0,3.12,22.45,91.79,100.0,39.84,91.85,64.85,27,Monitor,0.0,-0.29,0.92,-0.02,0.02,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00179,Supplier 179,R020,122,5,33616,314964364.8,24.15,4.15,27,122,0,100.0,22.13,0.0,9412.8,292.41,9057.6,9768.0,3.11,22.13,100.0,77.01,49.5,100.0,64.47,28,Monitor,0.0,-0.29,2.37,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00047,Supplier 047,R008,122,5,36112,204327059.2,24.15,4.15,27,122,0,100.0,22.13,0.0,5681.6,176.5,5467.2,5896.0,3.11,22.13,100.0,77.01,49.5,100.0,64.47,29,Monitor,0.12,0.36,-1.64,0.0,0.0,2,Multiple Performance Issues,High,Monitor monthly score and create corrective-action targets for delivery and quality.
S00175,Supplier 175,R016,122,5,33328,298756419.2,24.15,4.15,27,122,0,100.0,22.13,0.0,8946.4,277.92,8608.8,9284.0,3.11,22.13,100.0,77.01,49.5,100.0,64.47,30,Monitor,0.0,0.5,-3.47,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00011,Supplier 011,R012,122,5,31370,46349240.0,24.13,4.13,28,122,2534,91.88,22.95,8.08,1484.46,45.82,1428.0,1540.0,3.09,22.95,91.88,78.52,63.15,91.92,64.22,31,Monitor,0.06,-0.26,0.0,-0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00191,Supplier 191,R012,122,5,35480,382198080.0,24.13,4.13,28,122,2936,91.64,22.95,8.28,10815.34,333.8,10404.0,11220.0,3.09,22.95,91.64,78.52,63.15,91.72,64.14,32,Monitor,-0.06,-0.26,0.75,-0.02,0.02,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00067,Supplier 067,R008,123,5,32468,258804806.4,24.13,4.13,27,123,0,100.0,21.95,0.0,8011.14,249.41,7711.2,8316.0,3.11,21.95,100.0,78.62,44.84,100.0,64.04,33,Monitor,-0.06,-0.84,2.7,0.0,0.0,0,Stable / Improving,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
S00027,Supplier 027,R008,123,5,33848,113588854.4,24.13,4.13,27,123,0,100.0,21.95,0.0,3348.57,104.25,3223.2,3476.0,3.11,21.95,100.0,78.62,44.84,100.0,64.04,34,Monitor,-0.06,-0.19,-0.56,0.0,0.0,1,One Performance Issue,Medium,Monitor monthly score and create corrective-action targets for delivery and quality.
